"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"17.","PURULIA 
(11)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Adra","NRM","CWG, PSG","Nil","Adra","1","Potato, Tomato, Rice, 
Green vegetables","03251-
55279","Nil","C/o The Chairman, 
Reghunathpur Municipality, 
PO_Raghunathpur"
"2.","Balarampur","RPM","MCG, CSC","- do -","Balarampur","1","Tomato, Veg., Lac & 
Cattle","03252-
80270","- do -","The Secretary, RMC, 
Balarampur, PO-Rangadih"
"3.","Chota Urma 
Hat","RSM","RCG","- do -","Urma","1","Tomato, Cabbage, 
Brinjal, Leafy vegetables","Nil","- do -","- do -"
"4.","Dava hat","- do -","- do -","- do -","Balarampur","10","Tomato, Cabbage, Leafy 
vegetables, Potato","- do -","- do -","- do -"
"5.","Jhalda","RPM","CSC","- do -","Jhalda","8","Cattle, Vegetable, Lac, 
Paddy","03252-
22965","- do -","The Secretary, RMC, Jhalda, 
PO-Jhalda"
"6.","Kalimati","RSM","RCG","- do -","Suisa","10","Tomato, Green veg., 
Goat, Poultrybirds, Cattle","-","- do -","The Secretary, RMC, 
Balarampur, PO-Rangadih"
"7.","Kashipur","NRM","Nil","- do -","Adra","10","Paddy, Rice, Vegetables, 
Cattle,","03252-
22255","- do -","C/o Sabhadipati, Zilla Parishad, 
Purulia"
"8.","Kuila Hat","RSM","RCG","- do -","Balarampur","45","Tomato, Cabbage, 
Brinjal, Potato","-","- do -","The Secretary, 
RMC,Balarampur, PO-
Rangadih,  Distt.Purulia"
"9.","Manbazar","NRM","CSC","- do -","Purulia","35","Rice, Paddy, Leafy veg., 
Potato","03253-
55207","- do -","C/o Sabhadhipaty, Block 
Panchayat Samiti, PO-Manbazar"
"10.","Purulia","- do -","FCG, CSC, 
PSG, SWG","- do -","- do -","1","Rice, Mustard, Potato, 
Vegetables","03252-
22409","- do -","C/o The Chairman, Purulia 
Municipality, Purulia"
"","11.  Raghunathpur","- do -","CSC","- do -","Adra","10","Rice, Paddy, Potato, 
Other vegetables.","03251-
55279","- do -","C/o The Chairman, Reghunath 
Pur Municipality"
