"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"14.","MURSHIDABAD 
(44)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Amiapara","RSM","Nil","Nil","Jiaganj","5","Cauliflower, Green chillies, 
Cabbage, Brinjal","Nil","Nil","PO-Jiaganj"
"2.","Amarpur Hat","NRM","- do -","- do -","Jangipur","1.5","Cattle, Bidi tobacco, Tendu 
leaves","- do -","- do -","PO-Amarpur"
"3.","* Andi","RSM","Nil","- do -","Nil","Nil","- do -","- do -","- do -","Nil"
"4.","Aurangabad","NRM","PSG","- do -","Nimtila","3.5","Rice, Bidi tobacco, Wheat, 
Tendu leaves","Nil","Nil","PO-Aurangabad"
"5.","Azimgange","- do -","PSG, FCG, 
JCI","- do -","Azimganj City","0.5","Rice, Jute, Wheat, Vegetables","- do -","For Jute","PO-Azimgange"
"6.","Beldanga","RSM","CSC, PSG","- do -","Beldanga","1.5","Jute, Green chillies, Cabbage, 
Cattle","- do -","- do -","PO-Beldanga"
"7.","Bhagawangola","- do -","PSG","- do -","Bhagawangola","2","Jute, Mangoes, Brinjal, Parwal","- do -","Nil","PO-Bhagawangola"
"8.","* Bharatpur","NRM","Nil","- do -","Nil","Nil","-","- do -","- do -","PO-Bharatpur"
"9.","Burwan","- do -","PSG, CSG, 
JCI","PRC","Salar","32","Rice, Pumpkin, Gourd, Cattle","N.A.","- do -","PO-Burwan"
"10.","Cossimbazar","RPM","PSG","Nil","Cossimbazar","1.5","Jute, Rice, Wheat, Pulses","03482-
50454","For Jute","PO-Berhampore"
"11.","Dhulian","NRM","PSG, CSC, 
JCI","- do -","Dhulian","2","Bidi tobacco, Turmeric, Tendu 
leaves, Wheat","Nil","Nil","PO-Dhulian"
"12.","Domkal","RSM","PSG","- do -","Berhampore 
Court","35","Jute, Rice, Wheat, Jackfruit","- do -","- do -","PO-Domkal"
"13","* Doulatabad Hat","- do -","Nil","Nil","Nil","Nil","Nil","- do -","- do -","Nil"
"14.","* Godhampara 
Hat","- do -","- do -","- do -","- do -","- do -","- do -","- do -","- do -","- do -"
"15.","* Gokarna","- do -","- do -","- do -","- do -","- do -","- do -","- do -","- do -","- do -"
