"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"12.","MIDNAPUR 
EAST 
(50)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"30.","Moinagarh","NRM","PSG, 
CSC","Nil","Tamluk","20","Paddy, Rice, Jute, Potato","Nil","Nil","Vill-Gorhsafat, PO-Moina"
"31.","Nabargram","- do -","-","- do -","Chandrakon
e Rd.","37","Cow, Goats, Ducks, 
Fowls","- do -","- do -","Vill-Nabagram, PO- 
Radhanagar"
"32.","Nandigram","- do -","PSG","- do -","Tamluk","23","Paddy, Rice, Vegetable, 
Fish","- do -","- do -","Vill & PO- Nandigram"
"33.","Nandakumar","RSM","- do -","- do -","Satisalt","6","Rice, Potato, Puffed rice, 
Vegetable","- do -","- do -","Vill-Khejurberia, PO-
Nandakumar"
"34.","Nikashi","NRM","- do -","- do -","Tamluk","14","Rice, Vegetable, Jute, 
Potato","- do -","- do -","Vill & PO-Mirikpur"
"35.","Panshkura","NRM","PSG","PRC","Panskura","0","Vegetable, Rice, Fruit, 
Fish","- do -","- do -","Vill & PO-Panskura"
"36.","Pratapdighi","RSM","- do -","Nil","Belda","43","Paddy, Rice, Vegetable, 
Fish","- do -","- do -","Vill & PO- Pratapdighi"
"37.","Radhaganj","NRM","- do -","- do -","Tamluk","19","- do -","- do -","- do -","Vill-Norghat, PO-
Radhaganj"
"38.","Ramnagar","RSM","- do -","- do -","Belda","62","Betel leaves, Rice, 
Vegetable, Fish","- do -","- do -","Vill & PO-Ramnagar"
"39.","Ramkrishnaganj","- do -","- do -","- do -","Tamluk","23","Paddy, Rice, Vegetable, 
Fish","- do -","- do -","At & PO- Chandipur"
"40.","Riapara","NRM","- do -","- do -","Tamluk","17","Rice, Vegetable, Potato, 
Fish,","- do -","- do -","PO & At- Riapara"
