"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"7.","HOOGLY 
(43)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Arambagh","NRM","PSG","PRC","Tarakeswar","29","Rice, Poultry products, 
Potato, Mustard","03211
-
58205","Nil","Vill. & P.O.Arambagh"
"2.","Bandar","- do -","Nil","Nil","- do -","50","Jute, Vegetables","Nil","- do -","Vill. & P.O.Bandar"
"3.","Bandel","- do -","PSG","PRC","Bandel","1","Banana, Mangoes, 
Brinjal, Other veg.","- do -","- do -","Vill. & P.O.Bandel"
"4.","Baruipara","- do -","- do -","Nil","Baruipara","0.5","Green veg, Potato","- do -","- do -","Vill. & P.O.Baruipara"
"5.","Begampur","- do -","Nil","- do -","Begampur","0.5","Brinjal, Other Green 
veg.","- do -","- do -","Vill. & P.O.Begampur"
"6.","Bhadreswar 
St. Bazar","- do -","- do -","- do -","Bhadreswar","0.5","Banana, Vegetables","- do -","- do -","Vill. & P.O.Bhadreswar"
"7.","Bora","- do -","- do -","- do -","Baruipura","3","Betel leaves, Veg., 
Rice, Potato","- do -","- do -","P.O.Bora, Distt.Hoogly"
"8.","Chakbazar","- do -","- do -","- do -","Hooglyghat","2","Fish (local), (imported)","- do -","- do -","P.O. Hoogly"
"9.","Champadanga","RPM","MCG","CSC, 
PRC","Tarekeswar","9","Potato, Jute, Rice, Other 
veg.","- do -","For jute","RMC, Champadanga 
P.O.Champadanga"
"10.","Chandanpur","NRM","Nil","Nil","Chandanpur","0.5","Cucumber, Rice, Other 
Vegetables","- do -","Nil","P.O.Chandanpur"
"11.","Chanditala","- do -","- do -","- do -","Dankuni","7","Green vegetables, Rice","- do -","- do -","P.O.Chanditala"
"12.","Chatra Sitaha 
Bazar","- do -","- do -","- do -","Srirampur","2","Potato, Rice, Other 
vegetables","- do -","- do -","P.O.Chatra"
"13.","Dhaniakhali","- do -","CSC","PRC","Sepaichandi","5","Potato, Rice, Cattle","- do -","- do -","P.O.Dhaniakhali"
"14.","Gotu","- do -","Nil","Nil","Chinsurah","4","Banana, Mangoes, 
Vegetables","- do -","- do -","P.O.Gotu"
"15.","Guptipara","NRM","- do -","- do -","Guptipara","2","Rice, Potato, Other 
vegetables","- do -","- do -","P.O.Guptipara"
