"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"13.","MIDNAPUR 
WEST 
(21)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Amlagora 
(Radhanagar)","RPM","PSG, CSC","PRC","Garbeta","1","Potato, Green chillies, 
Tomato, Other vegetable","Nil","Nil","The Secretary, RMC, 
Midnapur"
"2.","Anandapur","NRM","- do -","- do -","Midnapur","16","Green Chillies, Leafy 
veg., Potato, Oilseeds","- do -","- do -","Vill & PO- Ananadapur"
"3.","Balichak","- do -","PSG, CSC, 
PSC","Nil","Balichak","1","Paddy, Rice, Jute, Paddy 
straw","- do -","- do -","PO-Balichak"
"4.","Basantapur","- do -","Nil","- do -","Midnapur","14","Paddy, Rice, Vegetable, 
Pulses","- do -","- do -","PO-Basantapur"
"5.","Belda","- do -","SWG, 
PSG, CSC","- do -","Belda","1","Rice, Vegetable, Pulses, 
Oilseeds","- do -","- do -","PO-Belda"
"6.","Binpur","- do -","Nil","- do -","Jhargram","12","Bullock, Buffalo, Poultry 
birds, Goat","- do -","- do -","PO-Binpur)"
"7.","Chandrakona Rd.","- do -","PSG, FCG, 
SWG, CSC","PRC","Chandra-
kona Rd.","1","Potato, Green veg., Sal 
leaf","- do -","- do -","PO-Chandrakona Rd"
"8.","Debra","- do -","CSC, PSG","Nil","Balichak","0.5","Paddy, Rice, Potato, 
Leafy veg.","- do -","- do -","PO-Debra Bazar"
"9.","Goaltord","RSM","MCG, PSG","PRC","Chandra-
kona Rd.","8","Rice, Sal leaf, Potato, 
Vegetable","- do -","- do -","The Secretary, RMC,  
Midnapur,"
"10.","Hoomgarh","- do -","PSG","CSC","- do -","15","Potato, Green veg.","- do -","- do -","- do -"
"11.","Jhargram (Jubli 
market)","NRM","CSC, PSG","PRC","Jhargram","1","Rice, Potato, Sal leaf, 
Brinjal, Other vegetable","- do -","- do -","PO-Jhargram"
