"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown    
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"3.","BURDWAN 
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Asansol","RPM","PSG, CSG","PRC","Asansol","1","Pulses, Vegetables, 
Oilseed","253113","Nil","The Chairman, RMC, 
Asansol"
"2.","Bibirhat","NRM","- do -","Nil","Samudragarh","15","Cattle","Nil","- do -","Bibirhat, Kalna"
"3.","Domohani","- do -","- do -","- do -","Domohani","1","Cattle, Milk, Sheep, Goat","- do -","- do -","Mowza Baraboni, 
Domahani, Asansol"
"4.","Durgapur","- do -","- do -","- do -","Durgapur","4","Rice, Pulses, Oilseed","- do -","- do -","Ghosh Market Benachity, 
Durgapur"
"5.","Kalna","RPM","- do -","PRC","Kalna","0.5","Rice, Potato, Jute, 
Vegetables","55009","Potato, 
Jute","The Secretary, RMC, Kalna"
"6.","Katwa","- do -","- do -","- do -","Katwa","1","Rice, Jute, Potato","55258","Nil","The Secretary, RMC, Katwa, 
PO-Khajudihi"
"7.","Lalganj","NRM","- do -","Nil","Asansol","22","All kinds of cattle, Goat","Nil","- do -","P.S.Barboni, Asansol, Duar"
"8.","Memari","- do -","- do -","PRC, 
CSC","Memari","0.5","Paddy, Potato, Pulses, 
Vegetables","- do -","- do -","P.O.Memari"
"9.","Nadanghat","- do -","- do -","PRC","Nabadwip","15","Paddy, Rice, Vegetables","- do -","- do -","Nandanghat, PO-Sub 
Division Kalan"
"10.","Parulia","- do -","- do -","Nil","Purhasthali","6","All kinds of vegetables","- do -","- do -","Parulia Hat, Sub Division 
Kalna"
"11.","Panchundi","- do -","- do -","- do -","Panchundi","0.5","All kinds of cattle","- do -","- do -","Panchundi Hat, 
            
PO-Ketugram, Sub Division, 
Katwa"
"12.","Raniganj","- do -","- do -","PRC","Raniganj","3","Pulses, Jaggery, Oils seeds, 
vegetables","- do -","- do -","Raniganj Market 
           
P.O. Raniganj"
"13.","Raniganj 
Bazar","- do -","- do -","- do -","Burdwan","0.5","Rice, Jaggery, Fish, Potato","- do -","- do -","Raniganj Bazar, 
P.O.Burdwan"
