"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"4.","COOCH BEHAR 
(54)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Abutara Hat","NRM","Nil","Nil","Dinhata","21","Jute, Paddy, Goat, 
Hen","Nil","Nil","Abutara, Cooch Behar"
"2.","Ambari Hat","RSM","- do -","- do -","Baneswar","8","Jute, Paddy, Rice, 
Veg.","03582-
23135","- do -","RMC, Ambari, Cooch Behar, 
Sadar"
"3.","Anguldekha","- do -","- do -","- do -","Haldibari","7","Jute, Tomato, Veg., 
Rice","Nil","- do -","Anguldekha, Cooch Behar"
"4.","Ak Rar Hat","NRM","- do -","- do -","Ghoskadanga","30","Jute, Paddy, Veg., 
Rice","- do -","- do -","Akrar, Cooch Behar"
"5.","Baneswar Hat","RSM","- do -","- do -","Baneswar","0.5","Jute, Paddy, Mustard, 
Veg.","03582-
23135","- do -","RMC, Baneswar, Cooch 
Behar, Sadar"
"6.","Baxir Hat","- do -","- do -","- do -","Kamakshyagur
i","20","- do -","03582-
44279","- do -","Baxi, Cooch Behar"
"7.","Balarampur Hat","- do -","- do -","- do -","Dinhata","10","Jute, Paddy, Pulses, 
Mustard","- do -","- do -","RMC, Balarampur, Cooch 
Behar, Tufanganj"
"8.","Bairagir Hat","- do -","- do -","- do -","Ghoskadanga","25","Jute, Paddy, Veg., 
Tobacco","03583-
55274","- do -","RMC, Bairagir, Cooch 
Behar, Mathabhanga"
"9.","Bhetaguri Hat","- do -","- do -","- do -","Bhetaguri","0.5","Jute, Paddy, 
Vegetables","03581-
55162","- do -","RMC, Bhetaguri, Dinhata, 
Cooch Behar"
"10.","Bhobanir Hat","NRM","- do -","- do -","Dinhata","0.5","Jute, Paddy, Rice, 
Veg.","Nil","- do -","Bhobanir Hat, Cooch Behar"
"11.","Bhowbani Ganj 
Bazar","- do -","FCG-1, 
CWG-1, 
PSG-1","PRC-1","New Cooch 
Behar","6","Rice, Jute, Tobacco, 
Pulses","- do -","- do -","Bhowbani Ganj, Cooch 
Behar"
"12.","Boramoricha Hat","RSM","Nil","Nil","Dinhata","30","Jute, Tobacco, 
Mustard, Pulses","03583-
55274","- do -","RMC, Boramoricha, 
Mathabhanga, Cooch Behar"
"13.","Chandamari Hat","- do -","- do -","- do -","New Cooch 
Behar","35","Paddy, Jute, Rice, 
Tobacco","Nil","- do -","Chandamari, Cooch Behar"
