"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"4.","COOCH 
BEHAR  (54)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"41.","Nayar Hat","RSM","Nil","Nil","Dinhata","17","Jute Paddy, Rice, 
Vegetables","03583-
55274","Nil","Nayar, Cooch Behar"
"42.","Nazir Hat","- do -","- do -","- do -","- do -","10","- do -","03581-
55162","- do -","Nazir, Cooch Behar"
"43.","Nishiganj Hat","- do -","- do -","- do -","Ghoskadanga","20","Jute, Rice, Tobacco, Cattle","03583-
55274","- do -","Nishiganj, Cooch Behar"
"44.","Pashari Hat","- do -","- do -","- do -","New Cooch Behar","30","Paddy, Jute, Tobacco, 
Vegetables","Nil","- do -","Pashari, Cooch Behar"
"45.","Pundibari Hat","- do -","- do -","- do -","Pundibari","5","Paddy, Jute, Mustard, Veg.","03582-
23135","- do -","Pundibari, Cooch Behar"
"46.","Rajar Hat","- do -","- do -","- do -","New Cooch Behar","8","- do -","- do -","- do -","Rajar Hat, Cooch Behar"
"47.","Ranir Hat","- do -","- do -","- do -","- do -","26","Paddy, Veg., Rice, Cattle","03582-
41279","- do -","Ranir Hat, Cooch Behar"
"48.","Saheb Ganj 
Hat","- do -","- do -","- do -","Dinhata","10","Paddy, Rice, Vegetables","03581-
55162","- do -","Saheb Ganj, Cooch 
Behar"
"49.","Sarkar Hat","NRM","- do -","- do -","Ghoskadanga","35","Paddy, Jute, Goat, Duck","N.A.","- do -","Sarkar Hat, Cooch 
Behar"
"50.","Satmile Hat","RSM","- do -","- do -","New Cooch Behar","25","Paddy, Jute, Cattle, Wheat","- do -","- do -","Satmile Hat, Cooch 
Behar"
"51.","Setai Hat","- do -","- do -","- do -","Dinhata","5","Paddy, Jute, Tobacco, 
Vegetables","03581-
55162","- do -","Setai Hat, Cooch Behar"
"52.","Suktabari Hat","- do -","- do -","- do -","New Cooch Behar","10","Paddy, Jute, Mustard, 
Wheat","Nil","- do -","Suktabari Hat, Cooch 
Behar"
"53.","Tufanganj Hat","RPM","CSG-1, 
CWG-1, 
MCG-1","CSC-1","Kamakshyaguri","15","Paddy, Jute, Wheat, Rice","- do -","- do -","Tufanganj Principal 
Regulated Market 
Committee, Tufanganj, 
Cooch Behar"
"54.","Talliguri Hat","NRM","Nil","Nil","- do -","17","Jute, Tobacco Mustard, 
Wheat","- do -","- do -","Talliguri Hat, Cooch 
Behar"
