"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"1.","CHANDIGARH   
(2)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Grain Market 
Chandigarh","RPM","PSG","PRC","Chandigarh","5","Paddy, Apple, Wheat, 
Potato","792590","Nil","The Secretary, Market 
Comiittee, Grain Market, 
Sector-26, Chandigarh"
"2.","Manimajra","RSM","- do -","- do -","- do -","4","Nil","Nil","- do -","- do -"
