"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"13.","PANIPAT 
 (12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Assandh","RPM","CSC, MCG, 
PSG, FCG","NIL","Panipat","30","Paddy, Wheat 
Jaggery, Pulses","01749-
78258","YES","Secretary,  Mkt. Committee  
Market,  Assandh."
"2.","Ballah","RSM","NIL","NIL","- do -","25","-do-","NIL","YES","Grain Market,  Ballah."
"3.","Veg. Market","RSM","NIL","NIL","Assandh","2","Potato, Onion 
Tomato, Fruits","NIL","YES","Vaegetable Market, Assandh."
"4.","Bapauli","RPM","NIL","NIL","Panipat","15","Paddy, Wheat 
Jaggery, Pulses","01742-
87269","YES","Secretary,  Mkt. Committee  
Market,  Bapauli."
"5.","New Veg. 
Mandi","RSM","NIL","NIL","- do -","17","Potato, Onion 
Jaggery, Pulses","NIL","YES","New Vegetable Mandi, Bapauli."
"6.","Israna","RPM","CSC, PSG, 
FCG","NIL","Israna","2","Paddy, Wheat 
    Jaggery, 
Pulses","NIL","YES","Secretary,  Mkt. Committee  
Market,  Israna."
"7.","Madlauda","RPM","CSC, MCG, 
PSG, FCG","NIL","Madlauda","2","-do-","01742-
84243","YES","Secretary,  Mkt. Committee  
Market,  Madlauda."
"8.","Chichhrana","RSM","NIL","NIL","- do -","12","-do-","NIL","YES","Grain Market, Chachhrauli."
"9.","Panipat","RPM","CSC, MCG, 
PSG, FCG","PRC","Panipat","8","-do-","01742-
64496","YES","Secretary,  Mkt. Committee  
Market,  Panipat."
"10.","Babarpur","RSM","NIL","NIL","Babarpur","2","-do-","NIL","YES","Grain Market,  Babarpur."
"11.","Samalkhan","RPM","CSC, MCG, 
PSG, FCG","NIL","Samalkhan","2","-do-","01742-
72128","YES","Secretary,  Mkt. Committee Grain  
Maarket,  Samalkhan."
"12.","Old Grain 
Market","RSM","NIL","NIL","- do -","1.5",".-do-","NIL","YES","Old Grain  Market, Samalkhan."
