"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"9.","KAITHAL 
(21)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"11.","Fatehpur Pundri","RPM","CSC, PSG, 
FCG","NIL","Kaithal","20","Paddy, Wheat","01746-
70250","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Pundri."
"12.","Habri","RSM","NIL","NIL","- do -","25","- do -","-","YES","Grain Market,  Habri."
"13.","Kaithal","RPM","CSC, PSG, 
FCG","PRC","- do -","2","- do -","-","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Kaithal."
"14.","FCI Depot","RSM","NIL","NIL","- do -","1","- do -","01746-
22107","YES","Food Corporation of India 
Depot, Kaithal."
"15.","New Veg. 
Market","RSM","NIL","NIL","- do -","1.5","Potato Onion 
(Sarson, Toria), 
Mustard","-","YES","New Vegetable Market, 
Kaithal."
"16.","Old Grain Mandi","RSM","NIL","NIL","- do -","1","Paddy, Wheat","-","YES","Old Grain Mandi, Kaithal."
"17.","Kalayat","RPM","CSC, SWG, 
PSG, FCG","NIL","Kalayat","1","- do -","01746-
60046","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Kalayat."
"18.","Dhanauri","RSM","SWG, MCG","NIL","- do -","10","- do -","-","YES","Grain Market, Dhanauri."
"19.","Pai","RPM","FCG","NIL","Kaithal","25","- do -","-","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Pai."
"20.","Siwan","RPM","SWG, FCG","NIL","- do -","25","-do-","01746-
40949","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Siwan"
"21.","HWC","RSM","NIL","NIL","- do -","25","-do-","-","YES","Haryana Ware Housing Corp., 
Siwan."
