"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"10.","KARNAL     
 (16)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Gharonda","RPM","CSC,  SWG, MCG, 
PSG, FCG","NIL","Gharonda","2","Paddy, Wheat, 
Pulses, Rapeseed","01748-
52021","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Gharonda."
"2.","Barsat","RSM","NIL","NIL","- do -","8","-do-","NIL","YES","Grain Market,.  Barsat."
"3.","Inori","RPM","PSG, FCG","NIL","Karnal","30","-do-","0184-
82248","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Indri."
"4.","Biana","RSM","NIL","NIL","- do -","40","-do-","NIL","YES","Grain Market,  Biana."
"5.","Jundla","RPM","CSC, SWG, MCG, 
PSG, FCG","NIL","- do -","15","-do-","NIL","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Jundla."
"6.","HWC","RSM","NIL","NIL","- do -","1","-do-","NIL","YES","Haryana Ware Housing 
Corp., Jundla."
"7.","Karnal","RPM","CSC, SWG, MCG, 
PSG, FCG","PRC","- do -","1.5","-do-","0184-
253196","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Karnal."
"8.","New Veg. 
Market","RSM","NIL","NIL","- do -","3","Potato, Onion, 
Tomato,  Rapeseed","NIL","YES","New Vegetable Market, 
Karnal"
"9.","Old Mandi","RSM","NIL","NIL","- do -","3","Paddy, Wheat, 
Pulses, Rapeseed","NIL","YES","Old Mandi,  Karnal"
"10.","Kunjpura","RPM","SWG, MCG, FCG","NIL","- do -","6","-do-","0184-
84331","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Kunjpura."
"11.","Nighdu","RPM","NIL","NIL","- do -","15","-do-","01745-
67749","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Nighdu."
"12.","Nilokheri","RPM","PSG, FCG","NIL","Nilokheri","2","-do-","01745-
46297","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Nilokheri."
"13.","Nissing","RPM","CSC, PSG, FCG","NIL","Karnal","25","-do-","01745-
71058","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Nissing.."
"14.","New Grain 
Market","RSM","NIL","NIL","- do -","25","-do-","NIL","YES","New Grain Market,  
Nissing."
"15.","Taraori","RPM","CSC,  MCG, PSG, 
FCG","NIL","Taraori","2","-do-","01745-
42042","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Taraori.."
"16.","FCI  Depot.","RSM","NIL","NIL","- do -","1","-do-","NIL","YES","Food Corporation of India 
Depot, Taraori."
