"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"7.","JIND       
 (15)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Jind","RPM","CSC, PSG, 
MCG, FCG","PRC","Jind","2","Wheat, paddy 
Cotton, Bajra","01681-
55002","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Jind."
"2.","Alewa","RSM","NIL","NIL","- do -","15","- do -","NIL","YES","Grain Market, Alewa."
"3.","New F. & V. 
Market","RSM","NIL","NIL","- do -","2","Potato, Onion 
Tomato, Mustard","NIL","YES","New Fruit & Vegetable 
Market, Jind."
"4.","Julana","RPM","NIL","NIL","Julana","1.5","Wheat, Paddy 
Cotton, Bajra","01683-
74013","YES","Secretary,  Mkt. Committee, 
Grain Market,  Julana."
"5.","Narwana","RPM","CSC, PSG, 
FCG","NIL","Narwana","2","- do - 
-","01684-
40121","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Narwana."
"6.","Dhamtan Sahib","RSM","SWG, 
MCG, FCG","NIL","- do -","10","- do -","NIL","YES","Grain Market,   Dhamtan 
Sahib."
"7.","Dhanoda Kalan  
Khurd","RSM","NIL","NIL","- do -","10","- do - 
-","NIL","YES","Grain Market, Dhanoda 
Kalan."
"8.","FCI Depot","RSM","NIL","NIL","- do -","1.5","- do -","NIL","YES","Food Corporation of India 
Depot, Narwana."
"9.","New Subzi 
Mandi","RSM","NIL","NIL","- do -","1.5","Potato, Onion 
Tomato, Mustard","NIL","YES","New Sabzi Mandi, Narwana."
"10.","Pilukhera","RPM","CSC, MCG, 
PSG, FCG","NIL","Pilukhera","1","Wheat, Paddy 
Cotton, Bajra","01686-
68239","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Pilukhera."
"11.","Safidon","RPM","CSC,  FCG, 
PSG","NIL","Safidon","1.5","- do -","01686-
82004","YES","Secretary Mkt. Committee, 
Grain Mkt.,  Safidon."
"12.","FCI Depot","RSM","NIL","NIL","- do -","1","- do -","NIL","YES","Food Corporation of India 
Depot, Safidon."
"13.","New Subzi 
Mandi","RSM","NIL","NIL","- do -","2","Potato, Onion 
Tomato, Mustard","NIL","YES","New Sabzi Mandi,  Safidon."
"14.","Uchana","RPM","PSG, FCG","NIL","Uchana","1","Wheat, Paddy 
Cotton, Bajra","01684-
30415","YES","Secretary,  Mkt. Committee, 
Grain Maarket,  Uchana.."
"15.","Garhi","RSM","MCG, FCG","NIL","- do -","10","- do -","NIL","YES","Grain Market, Garhi."
