"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"18.","SONEPAT 
 (13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Ganaur","RPM","SWG, CSC, 
MCG, PSG, 
FCG","NIL","Ganaur","2","Paddy, Wheat 
Pulses, Bajra","01268-
80191","YES","Secretary,  Mkt. Committee, Grain 
Maarket,  Ganaur"
"2.","Pungthala","RSM","NIL","NIL","- do -","6","-do-","NIL","YES","Ggrain Market, Pungthala."
"3.","Gohana","RPM","CSC, MCG, 
PSG, FCG","NIL","Gohana","2","-do-","01263-
52038","YES","Secretary,  Mkt. Committee, Grain 
Maarket,  Gohana."
"4.","Khanpur Kalan","RSM","NIL","NIL","- do -","10","-do-","NIL","YES","Grain Market,  Khanpur Kalan."
"5.","Madlana","RSM","NIL","NIL","- do -","12","-do-","NIL","YES","Grain Market, Madlana."
"6.","Subzi mandi","RSM","NIL","NIL","- do -","2","Potato Onion, 
Pulses Bajra","NIL","YES","Subzi  Mandi,  Gohana."
"7.","Sonepat","RPM","CSC, SWG, 
MCG, PSG, 
FCG","PRC","Sonepat","2","Paddy Wheat, 
Pulses Bajra","01264-
46621","YES","Secretary,  Mkt. Committee, Grain 
Maarket,  Sonepat."
"8.","Bahalgarh","RSM","NIL","NIL","- do -","10","-do-","NIL","YES","Grain Market,  Bahalgarh."
"9.","Kharkhoda","RSM","NIL","NIL","- do -","20","-do-","NIL","YES","Grain Market,  Kharkhoda.."
"10.","Mohna","RSM","NIL","NIL","- do -","15","-do-","NIL","YES","Grain Market, Mohna."
"11.","Murthal","RSM","NIL","NIL","- do -","10","-do-","NIL","YES","Grain Market,   Murthal."
"12.","New Veg. Mkt.","RSM","NIL","NIL","Sonepat","2","Potato, Onion 
Vegetable & 
Fruit","NIL","YES","New Vegetable Market,  Sonepat."
"13.","Subzi Mandi","RSM","NIL","NIL","- do -","2","-do-","NIL","YES","Subzi  Mandi,  Sonepat."
