"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in 
the market","Tel. 
 No.","Commer
-cial 
 grading 
facility","Complete postal address"
"12.","MOGA     
(27)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"15.","Khosa Pandi","RSM","Nil","Nil","Moga","10","Wheat, Paddy","Nil","Nil","The Incharge, Sub-Market Yard, Khosa 
Pando (Moga)"
"16.","Khukhrana","- do -","RCG","- do -","- do -","20","- do -","- do -","- do -","The Incharge, Sub-Market Yard, Khukhrana 
(Moga)"
"17.","Kot-Isekhan","RPM","Nil","- do -","- do -","25","Wheat, Paddy, 
Maize, 
Jaggery","01682-
40074","- do -","The Secretary, M.C., Kot-Isekhan (Moga)"
"18.","Malke","RSM","- do -","- do -","Kotkapur
a","20","Wheat, Paddy","Nil","- do -","The Secretary, Sub Market Yard, Malke 
(Baghapurana)"
"19.","Mandithathi –
bhai","- do -","- do -","- do -","Moga","32","- do -","- do -","- do -","The Secretary, Sub Market Yard, Mandi 
Thathi Bhai (Baghapurana)"
"20.","Moga","RPM","CWG, 
FCG, CSC","PRC","- do -","1","Wheat, Paddy, 
Green gram, 
Gram","01636-
34319","- do -","The Secretary,  M.C., New Grain Market 
(Moga)"
"21.","Nathuwala","RSM","Nil","Nil","- do -","32","Wheat, Paddy","Nil","- do -","The Secretary, Sub Market Yard, Nathuwala 
(Baghapurana)"
"22.","Nihal 
Singhwala","RPM","FCG, CSC","- do -","- do -","40","Wheat, Paddy, 
Cotton, Gram","01636-
54133","- do -","The Secretary, M.C., Nehal Singhwala 
(Moga)"
"23.","Palohira Singh","RSM","Nil","- do -","- do -","39","- do -","Nil","- do -","The Secretary, Sub Market Yard, Palto 
Hirasinghwala (Moga)"
"24.","Raunta","- do -","MCG","- do -","- do -","50","- do -","- do -","- do -","The Secretary, Sub Market Yard, Raunta 
(Nihal Singhwala)"
"25.","Smalsar","- do -","SWG","- do -","- do -","32","Wheat, Paddy","- do -","- do -","The Secretary, Sub Market Yard, Smal Sar 
(Baghapurana)"
"26.","Smadh Bhai","- do -","Nil","- do -","- do -","40","- do -","- do -","- do -","The Secretary, Sub Market Yard, Smadh 
Bhai (Baghapurana)"
"27.","Talwandi 
Malian","- do -","- do -","- do -","- do -","24","- do -","- do -","- do -","The Secretary, Sub Market Yard, Talwandi 
Malian (Dharamkot)"
