"Name of district 
and wholesale  
market","","State 
of 
regu-
lation","Godown facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"17.","SANGRUR     
(46)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"31.","Mehlanchowk","RSM","Nil","Nil","Sunam","15","Wheat, Paddy","Nil","Nil","The Secretary, M.C., Sulargharat"
"32.","Memsa","- do -","- do -","- do -","Dhuri","10","- do -","- do -","- do -","The Secretary, M.C., Dhuri"
"33.","Mullowal","- do -","- do -","- do -","Dhuri","12","- do -","- do -","- do -","The Secretary, M.C., Sherpur"
"34.","Munak","- do -","FCG, SFG","- do -","Jhakal","30","- do -","- do -","- do -","The Secretary, M.C., Khanauri"
"35.","Rurekhakalan","- do -","Nil","- do -","Tapa","24","- do -","- do -","- do -","The Secretary, M.C., Tapa."
"36.","Sadarbazar 
Tapa","RSM","FCG, SFG","PRC","Tapa","0","Wheat, Paddy","Nil","Nil","The Secretary, M.C., Tapa."
"37.","Sandaur","- do -","FCG","Nil","Malerkotla","18","- do -","- do -","- do -","The Secretary, M.C., New 
Grainmarket, Malerkotla."
"38.","Sangrur","RPM","FCG, SWG, SFG","PRC","Sangrur","0","Wheat, Paddy, 
Cotton, Potato","01672-
33382","- do -","The Secretary, M.C., New 
Grainmarket, Sangrur."
"39.","Seron","RSM","Nil","Nil","Sunam","15","Wheat, Paddy","Nil","- do -","The Secretary, M.C., Cheema."
"40.","Shehna","- do -","- do -","- do -","Tapa","20","- do -","- do -","- do -","The Secretary, M.C., Bhadaur"
"41.","Sherpur","RPM","FCG, SFG","- do -","Dhuri","12","- do -","01675-
633403","- do -","The Secretary, M.C., New 
Grainmarket, Sherpur."
"42.","Sulargharat","- do -","Nil","- do -","Sunam","18","Wheat, Paddy, 
Cotton, Potato","01675-
48149","- do -","The Secretary, M.C., Sulargharat, 
Distt.Sangrur."
"43.","Sunam","- do -","FCG, SWG, SFG","PRC","- do -","0","Wheat, Paddy, 
Potato, 
Chillies","01676-
20021","- do -","The Secretary, M.C., New 
Grainmarket, Sunam"
"44.","Talewal","RSM","Nil","Nil","- do -","24","Wheat, Paddy","Nil","- do -","The Secretary, M.C., Bhadaur."
"45.","Tapa","RPM","FCG, SFG","PRC","Tapa","0","Wheat, Paddy, 
Cotton, Potato","016739-
72036","- do -","The Secretary, M.C., New 
Grainmarket, Tapa."
"46.","Thuliwal","RSM","Nil","Nil","Barnala","15","Wheat, Paddy","Nil","- do -","The Secretary, M.C., Mehalkalan."
