"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"17.","SANGRUR     
(46)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"16.","Kaleke","RSM","Nil","Nil","Barnala","18","Wheat, Paddy","Nil","Nil","The Secretary, M.C., Dhanoula"
"17.","Kanganwal","- do -","- do -","- do -","Ahmedgarh","10","- do -","- do -","- do -","The Secretary, M.C., Grain Market, 
Ahmedgarh"
"18.","Kanjhla","- do -","- do -","","Dhuri","15","Wheat, Paddy","Nil","Nil","The Secretary, M.C., Dhuri"
"19.","Katron","- do -","- do -","- do -","Malerkotla","20","- do -","- do -","- do -","The Secretary, M.C., Grain Market, 
Sherpur"
"20.","Khanauri","RPM","FCG, SWG","- do -","Jakhal","1","Wheat, Paddy, 
Cotton, Potato","01676-
50122","- do -","The Secretary, M.C., Khanauri."
"21.","Kotduna","RSM","Nil","- do -","Barnala","24","Wheat, Paddy","Nil","- do -","The Secretary, M.C., Dhanoula"
"22.","Kutba","- do -","- do -","- do -","- do -","30","- do -","- do -","- do -","The Secretary, M.C., Mehalkalan"
"23.","Lasoi","- do -","- do -","- do -","Malerkotla","15","- do -","- do -","- do -","The Secretary, M.C., Malerkotla"
"24.","Lehalkalan","- do -","- do -","- do -","Lehragaga","15","- do -","- do -","- do -","The Secretary, M.C., Lahragaga"
"25.","Lehragaga","RPM","FCG, SWG, 
SFG","- do -","- do -","0","Wheat, Paddy, 
Cotton, Potato","01676-
72035","- do -","- do -"
"26.","Longowal","RSM","Nil","PRC","Sunam","30","Wheat, Paddy","Nil","- do -","The Secretary, M.C., Grainmarket, 
Cheema"
"27.","Malerkotla","RPM","FCG, SWG,   
SFG","- do -","Malerkotla","0","Wheat, Paddy, 
Potato, Barley","01675-
654162","- do -","The Secretary, M.C., New Grainmarket, 
Malerkotla"
"28.","Manvi","RSM","Nil","Nil","- do -","15","Wheat, Paddy","Nil","- do -","The Secretary, M.C., Amargharh"
"29.","Maur Nabha","- do -","- do -","- do -","Tapa","10","- do -","- do -","- do -","The Secretary, M.C., Tapa"
"30.","Mehalkalan","RPM","FCG","- do -","Barnala","22","- do -","16739-
55590","- do -","The Secretary, M.C., New Grainmarket, 
Mehalakalan"
