"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"10.","LUDHIYANA 
(38)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Ayali","RSM","CSC","-","Ludhiana","7","Wheat, Paddy","0161-740122","Yes","The Secretary, M.C., Salaem 
Tabri, Ludhiana"
"2.","Faggha Khurad","- do -","CSC","-","- do -","7","- do -","- do -","-","- do -"
"3.","Barundi","- do -","-","-","Kila Raipur","10","- do -","0161-851354","-","The Secretary, M.C., Kila, 
Raipur"
"4.","Bhundri","- do -","CSC","-","Jagraon","15","- do -","01624-40249","-","The Secretary, M.C., Sidhawn 
Bet"
"5.","Dakha","RPM","FCG, 
SWG, 
CSC, CWG","PRC","Mulanpur","1","- do -","0161-878039","Yes","The Secretary, M.C., Dakha"
"6.","Dhandra","RSM","-","-","Ludhiana","8","- do -","0161-740122","-","The Secretary, M.C., Salean 
Tabri, Ludhiana"
"7.","Doraha","RPM","FCG","-","Doraha","1","- do -","01628-57043","Yes","The Secretary, M.C., Doraha"
"8.","Gill Road","RSM","FCG, SFG","-","Ludhiana","5","- do -","0161-740122","-","The Secretary, M.C., Salean 
Tabri, Ludhiana"
"9.","Haddobet","- do -","-","-","Khanna","35","- do -","01628-50037","-","The Secretary, M.C., 
Machhiwara"
"10.","Hathur","RPM","FCG","-","Jagraon","22","- do -","01624-52298","-","The Secretary, M.C., Hathur"
"11.","Jagraon","- do -","FCG, SWG","PRC","- do -","1","Wheat, Paddy, 
Cotton, Green 
gram","01624-23227","Yes","The Secretary, M.C., Jagraon"
"12.","Jodhan","RSM","-","-","Kila Raipur","8","Wheat, Paddy","0161-851354","-","The Secretary, M.C, Kila, 
Raipur"
"13.","Kaunke Kalan","- do -","-","-","Jagraon","12","- do -","01624-23227","-","The Secretary, M.C., Jagraon"
