"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"8.","JALANDHAR  
(33)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Adampur","RPM","FCG, SFG","PRC","Adampur","1","Wheat, Paddy, Potato, 
Sunflower","0181-753349","Yes","The Secretary, M.C.,  
New Grain Market, 
Adampur"
"2.","Alawalpur","RSM","Nil","PSC","Alawalpur","0.5","Wheat, Paddy, 
Sunflower","0181-753349","Nil","- do -"
"3.","Apra","- do -","RCG","Nil","Phillaur","14","Wheat, Paddy,","01826-22548","Yes","The Secretary, M.C., 
Grain Market, Phillaur"
"4.","Bahudinpur","- do -","Nil","- do -","Khurdpur","10","- do -","0181-753349","Nil","The Secretary, M.C., New 
Grain Market, Admpur"
"5.","Bhogpur","RPM","FCG, SFG","PRC, 
PSC","Bhogpur","2","Wheat, Paddy, Potato, 
Sunflower","0181-722006","Yes","The Secretary, M.C., New 
Grain Market, Bhogpur"
"6.","Bilga","- do -","FCG","PRC","Bilga","2","Wheat, Paddy, Potato, 
Chillies","01826-62291","- do -","The Secretary, M.C., New 
Grain Market, Bilga"
"7.","Darauli 
Kalan","RSM","RCG","Nil","Khurdpur","4","Wheat, Paddy,","0181-753349","Nil","The Secretary, M.C., New 
Grain Market,Adampur"
"8.","Fatenganj","- do -","Nil","- do -","Jalandhar","2","Wheat, Paddy, Potato, 
Sunflower","0181-255469,   
258066","Yes","The Secretary, M.C., New 
Grain Market, Jalandhar"
"9.","Goraya","RPM","FCG","PRC","Goraya","3","Wheat, Paddy, Potato, 
Chillies","01826-62291","- do -","The Secretary, M.C., 
Goraya"
"10.","Jalandhar","- do -","FCG, CWG, 
SWG, SFG, 
PSG","CSC, 
PRC, 
PSC","Jalandhar","8","Wheat, Paddy, 
Sunflower, Maize","0181-255469,   
258066","- do -","The Secretary, M.C., New 
Grain Market, Jalandhar 
City"
"11.","Jalandhar 
Cantt.","- do -","FCG, SWG, 
CSC","PRC, 
CSC, 
PSC","Jalandhar 
Cantt.","2","Wheat, Paddy, Potato, 
Sunflower","0181-260264","- do -","The Secretary, M.C., New 
Grain Market, Jalandhar 
Cantt."
