"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"5.","FIROZPUR    
(58)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Abohar","RPM","FCG, SWG, 
CWG, CSC","PRC","Abohar","5","Wheat, Cotton, 
Paddy, Mustard","01634- 
20353","Yes","The Secretary, M.C.,  New Grain Market, 
Abohar"
"2.","Ariefke","RSM","Nil","Nil","Ferozpur","13","Wheat, Cotton","Nil","Nil","The Incharge, Sub-Market Yard, Ariefke 
(Ferozpur)"
"3.","Bahaw Wala","- do -","- do -","- do -","Abohar","14","Wheat, Cotton, 
Paddy, Mustard","- do -","- do -","The Incharge, Sub-Market Yard, Bahaw- 
wala Abohar"
"4.","Bahar Wali","- do -","- do -","- do -","Makhu","10","Wheat, Paddy","- do -","- do -","The Incharge, Sub-Market Yard, Bahar 
Wali (Makhu)"
"5.","Began Wali","- do -","- do -","- do -","Fazilka","14","Cotton, Wheat, 
Paddy, Mustard","- do -","- do -","The Incharge, Sub-Market Yard, 
Bengawali (Fazilka)"
"6.","Behak 
Gujran","- do -","- do -","- do -","Zira","10","Wheat, Paddy","- do -","- do -","The Incharge, Sub-Market Yard, Behak 
Gujran (Zira)"
"7.","Bunia Wala","- do -","- do -","- do -","Talwandi-
bhai","14","- do -","- do -","- do -","The Incharge, Sub-Market Yard, Bunia 
Wala (Talwandi Bhai)"
"8.","Chack Khere 
Wala","- do -","- do -","- do -","Ladhuka","8","Wheat, Paddy, 
Cotton","- do -","- do -","The Incharge, Sub-Market Yard, Chak 
Khere Wala (Jalalabad)"
"9.","Chak 
Saindon Ke","- do -","- do -","- do -","Jalalabad","5","Wheat, Paddy, 
Maize, Cotton","- do -","- do -","The Incharge, Sub-Market Yard, Chack 
Saidon Ke (Jalalabad)"
"10.","Chugte Wala","- do -","- do -","- do -","Mallanwal
a","12","Wheat, Paddy","- do -","- do -","The Incharge, Sub-Market Yard, Chack 
Chugtewala, (Mallanwala)"
"11.","Dabwala 
Kalan","- do -","- do -","- do -","Fazilka","15","Cotton, Wheat, 
Paddy, Mustard","- do -","- do -","The Incharge, Sub-Market Yard, 
Dabwala Kalan (Fazilka)"
"12.","Dhinga Wali","- do -","- do -","- do -","Abohar","18","Cotton, Wheat, 
Paddy","- do -","- do -","The Incharge, Sub-Market Yard, Dhinga 
wali (Abohar)"
"13","Diwan Khera","- do -","- do -","- do -","- do -","27","- do -","- do -","- do -","The Incharge, Sub-Market Yard,, Diwan 
Khera, Abohar"
