"Name of district and 
wholesale market","","State  
of  
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Telephone 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"9.","KAPURTHALA 
(27)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Badala Kalan","RSM","Nil","Nil","Kapurthala","6","Wheat, Paddy","01822-32020","Nil","The Secretary, M.C.,  Sultanpur 
Raod, New Grain Market, 
Kapurthala"
"2.","Baler Khanpur","- do -","CSC","- do -","- do -","12","- do -","- do -","- do -","- do -"
"3.","Beggowal","- do -","Nil","- do -","Kartarpur","16","- do -","01822-44770","- do -","The Secretary, M.C., Bholath"
"4.","Bholath","RPM","FCG, SWG","- do -","- do -","13","- do -","- do -","- do -","- do -"
"5.","Dalla","RSM","CSC","- do -","Sultanpur 
Lodhi","7","- do -","01828-22031","- do -","The Secretary, M.C., Sultanpur 
Lodhi"
"6.","Dhillwan","RPM","Nil","PRC","Dhillwan","0.5","- do -","01822-43572","- do -","The Secretary, M.C., Dhillwan"
"7.","Ibrahimwal","RSM","- do -","Nil","- do -","13","- do -","01822-44770","- do -","The Secretary, M.C., Bholath"
"8.","Jagatpur Jattan","- do -","MCG","- do -","Phagwara","8","- do -","01824-60715","- do -","The Secretary, M.C., 
Hoshiarpur Road, Phagwara"
"9.","Kabirpur","- do -","CSC","- do -","Sultanpur 
Lodhi","15","- do -","01828-22031","- do -","The Secretary, M.C., Sultanpur 
Lodhi"
"10.","Kapurthala","RPM","FCG, SWG, 
CSC, PSG, 
SFG","PRC","Kapurthala","0.5","Wheat, Paddy, 
Sunflower, Maize","01822-32020","Yes","The Secretary, M.C., Sultanpur 
Raod, New Grain Market, 
Kapurthala"
"11.","Khallu","RSM","CSC","Nil","- do -","15","Wheat, Paddy","- do -","Nil","- do -"
"12.","Khalwara","- do -","SWG","- do -","Phagwar","5","- do -","01824-60715","- do -","The Secretary, M.C., 
Hoshiarpur"
"13.","Manak Wahad","- do -","MCG","- do -","- do -","16","- do -","- do -","- do -","- do -"
"14.","Mandi Maharaj 
Jang","- do -","Nil","- do -","- do -","0.5","- do -","- do -","- do -","- do -"
