"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"16.","ROPAR      
(Roop Nagar)   
(14)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Anandpur Sahib","RPM","MCG","Nil","Anandpur 
Sahib","2","Foodgrains","Nil","Nil","The Secretary, M.C., Anandpur Sahib"
"2.","Ajouli","RSM","- do -","- do -","Nangal","1","Wheat, Paddy","- do -","- do -","The Secretary, Grain Market, Ajouli"
"3.","Bela","- do -","","PRC","Ropar","15","- do -","- do -","- do -","The Secretary, Grain Market, Bela"
"4.","Chamkorsahib","RPM","FCG","Nil","Morinda","15","- do -","01881-
160170","- do -","The Secretary, M.C., Chamkor Sahib"
"5.","Chunikala","RSM","Nil","- do -","Sirhind","18","- do -","Nil","- do -","The Secretary, Grainmarket, Kharar, 
Chunikala"
"6.","Dumewal","- do -","MCG","- do -","Anandpur 
Sahib","12","- do -","- do -","- do -","The Secretary, Grainmarket, Focal 
Point, Dumewal, Tah.Anandpur Sahib"
"7.","Ghanauli","- do -","- do -","PRC","Ghanauli","0.5","- do -","- do -","- do -","The Secretary, Grainmarket, Ropar"
"8.","Kharar","RPM","FCG","- do -","Kurali","10","Wheat, Paddy, 
Potato, Onion","01888-
245306","- do -","The Secretary, Grainmarket, Kharar"
"9.","Khijrabad","RSM","MCG","Nil","- do -","12","Wheat, Paddy","Nil","- do -","The Secretary, M.C., Kurali"
"10.","Kiratpursahib","- do -","Nil","- do -","Kiratpur 
Sahib","1","- do -","- do -","- do -","The Secretary, Grain Market, Focal 
Point, Kiratpursahib"
"11.","Kurali","RPM","SWG, FCG","PRC","Kurali","0.5","Wheat, Paddy,  
Mustard, 
Maize","01888-
640071","- do -","The Secretary, M.C., Kurali"
"12.","Morinda","- do -","FCG, SWG, 
SFG","- do -","Morinda","1.5","Wheat, Paddy","01888-
630012","- do -","The Secretary, M.C., Morinda"
"13.","Ropar","- do -","CWG, SFG","- do -","Ropar","3","Wheat, Paddy, 
Sunflower, 
Maize","01881-
22237","- do -","The Secretary, Grainmarket, Ropar"
"14.","Takhatgarh","RSM","Nil","Nil","- do -","20","Wheat, Paddy","Nil","- do -","The Secretary, Grainmarket, Focal 
Point, Takhatgarh, Tah.Anandpursahib"
