"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"7.","HOSHIARPUR  
(29)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Barian Kalan","RSM","Nil","Nil","Hoshiarpur","18","Wheat, Paddy","01874-82072","Nil","The Secretary, M.C.,  Near 
Bus Stand, Gharhshankar"
"2.","Bhangala","- do -","- do -","- do -","Bhangala","1.5","- do -","01883-24021","- do -","The Secretary, M.C., 
Mukerian"
"3.","Chabbewal","- do -","CSC","PRC","Hoshiarpur","11","Wheat, Paddy, 
Green Peas","01882-222547","- do -","The Secretary, M.C., 
Phagwara Rd.,Hoshiarpur"
"4.","Chutala","- do -","- do -","- do -","- do -","25","Wheat, Paddy","- do -","- do -","- do -"
"5.","Dasuya","RPM","FCG, SWG,  
CSC, SFG","- do -","Dasuya","1","- do -","01883-85017","- do -","The Secretary, M.C., Dasuya"
"6.","Garhshankar","- do -","FCG, CWG, 
PSG, CSC, 
SFG","- do -","Garhshankar","0.5","Wheat, Paddy,  
Potato, Maize","01884-82072","Yes","The Secretary, M.C., Near 
Bus Stand, Gharhshankar"
"7.","Goghara","RSM","SFG","Nil","Dasuya","10","Wheat, Paddy","01883-85017","Nil","The Secretary, M.C., Dasuya"
"8.","Gorawaha","- do -","Nil","- do -","Tanda 
Urmur","11","- do -","01886-22050","- do -","The Secretary, M.C., Tanda 
Urmur"
"9.","Hardokhund Pur","- do -","MCG","- do -","Mukerian","18","- do -","01883-24021","- do -","The Secretary, M.C., 
Mukerian"
"10.","Haryana","- do -","CSC","PRC","Hoshiarpur","15","Wheat, Paddy, 
Cauliflower, 
Green Veg.","01882-222547","- do -","The Secretary, M.C., 
Phagwara Rd.,Hoshiarpur"
"11.","Hazipur","- do -","Nil","Nil","Mukerian","15","Wheat, Paddy","01883-24021","- do -","The Secretary, M.C., 
Mukerian"
"12.","Hoshiarpur","RPM","FCG, CWG, 
SWG, CSC","PRC","Hoshiarpur","1","Wheat, Paddy, 
Maize","01882-222547","Yes","The Secretary, M.C., Phagwar 
Rd., Hoshiarpur"
"13","Khandhala","RSM","Nil","Nil","Tanda 
Urmur","10","Wheat, Paddy","01886-22050","Nil","The Secretary, M.C., Tanda 
Urmur"
"14.","Kuhn-Kuhn 
Kalan","- do -","CWG","- do -","Dasuya","9","- do -","01883-85017","- do -","The Secretary, M.C., Dasuya"
"15.","Kot Fatuhi","- do -","Nil","- do -","Garhshankar","15","- do -","01884-82072","- do -","The Secretary, M.C., New Bus 
Stand, Garhshankar"
