"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"17.","SANGRUR    
(46)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Ahmedgarh","RPM","SWG, FCG, 
SFG","Nil","Ahmedagarh","0","Wheat, Paddy, 
Cotton, Potato","01675-
640039","Nil","The Secretary, M.C., Grainmarket, 
Ahmedgarh"
"2.","Amargarh","- do -","FCG, SFG, 
SWG","- do -","Malerkotla","16","Wheat, Paddy","01675-
684250","- do -","The Secretary, M.C., New Grain 
Market, Nabha Road, Amargarh"
"3.","Barnala","- do -","FCG, SWG, 
SFG","PRC","Barnala","0","Wheat, Paddy, 
Cotton, Barley","01673-
30553","- do -","The Secretary, M.C., New 
Grainmarket, Barnala"
"4.","Bhadaur","- do -","FCG, SWG,  
SFG","- do -","- do -","25","Wheat, Paddy","01673-
974762","- do -","The Secretary, M.C., Bhadaur"
"5.","Bhawanigarh","- do -","FCG, SWG, 
SFG","Nil","Sangrur","24","Wheat, Paddy, 
Cotton, Potato","01672-
72043","- do -","The Secretary, M.C., Bhawanigarh"
"6.","Bhindra","RSM","FCG, SWG","PRC","- do -","10","Wheat, Paddy,","Nil","- do -","The Secretary, M.C., Sangrur"
"7.","Chananwal","- do -","SFG","Nil","Barnala","20","- do -","- do -","- do -","The Secretary, M.C., Mehalkalan"
"8.","Chajli","- do -","Nil","- do -","Sunam","8","- do -","- do -","- do -","The Secretary, M.C., Sunam"
"9.","Cheema","RPM","- do -","PRC","- do -","14","- do -","01676-
84231","- do -","The Secretary, M.C., Cheema."
"10.","Dhadogal","RSM","- do -","Nil","Dhuri","15","- do -","Nil","- do -","The Secretary, M.C., Amargarh"
"11.","Dhadrain","- do -","- do -","- do -","Sunam","25","- do -","- do -","- do -","The Secretary, M.C., Sunam"
"12.","Dhanaula","RPM","- do -","- do -","Barnala","12","- do -","16739-
63472","- do -","The Secretary, M.C., Dhanaula, Near 
New Grain Market, Barnala"
"13.","Dhuri","- do -","FCG, SWG,   
SFG","PRC","Dhuri","0","Wheat, Paddy, 
Potato, Cotton","01675-
620065","- do -","The Secretary, M.C., New Grain 
Market, Dhuri"
"14.","Gharaancha","RSM","Nil","Nil","Sangrur","20","Wheat, Paddy","Nil","- do -","The Secretary, M.C., Bhawanigarh"
"15.","Jakhepal","- do -","- do -","- do -","Sunam","12","- do -","- do -","- do -","The Secretary, M.C., Sunam"
