"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"6.","GURUDAS- 
 PUR (37)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bhamial","RSM","RCG","Nil","Kathua 
(J&K)","22","Wheat, Paddy","Nil","Nil","The Secretary, M.C., Narot Jaimal 
Singh"
"2.","Batala","RPM","FCG, SWG, 
CSC","PRC","Batala","3","Wheat, Paddy, 
Rapeseed","01871-42156","- do -","The Secretary, M.C., Batala"
"3.","Bhaini Mian 
Khan","RSM","Nil","Nil","Quadian","12","Wheat, Paddy, 
Mustard","01872-58264","- do -","The Secretary, M.C., Kahnuwan"
"4.","Bhoa","- do -","RCG, 
CSC","- do -","Saran","6","Wheat, Paddy","0186-20142","- do -","The Secretary, M.C., Pathankot"
"5.","Dhariwal","RPM","FCG, CSC, 
SWG","- do -","Dhariwal","1","- do -","01874-75137","Yes","The Secretary, M.C., Dhanriwal"
"6.","Dera Ba 
Nanak","- do -","CSC","- do -","Derababa 
Nanak","2","- do -","01871-47243","- do -","The Secretary, M.C., Dera Baba 
Nanak"
"7.","Dina Nagar","- do -","SWG, 
CSC","PRC","Dina Nagar","2","Wheat, Paddy, 
Rapeseed, 
Kinnow","01875-40049","Nil","The Secretary, M.C., New Grain 
Market, Dina Nagar"
"8.","Fatehgarh 
Churian","- do -","CSC, 
SWG","Nil","Fatehgarh 
Churian","2","Wheat, Paddy","01871-56229","Yes","The Secretary, M.C., Fatehgarh 
Churian"
"9.","Gho","RSM","Nil","- do -","Pathankot","8","- do -","0186-20142","Nil","The Secretary, M.C., Pathankot"
"10.","Ghuman","- do -","- do -","- do -","Quadian","20","- do -","01872-55310","- do -","The Secretary, M.C., Shri 
Hargobindpur"
"11.","Gurudaspur","RPM","CSC, SWG, 
FCG, SFG","- do -","Gurdaspur","1.5","- do -","01874-58264","Yes","The Secretary, M.C., New Grain 
Market, Gurudaspur"
"12.","Harchowal","RSM","Nil","- do -","Quadian","10","- do -","01872-55310","Nil","The Secretary, M.C., Shri 
Hargobindpur"
"13","Kahnuwan","RPM","- do -","- do -","- do -","15","- do -","01872-58264","- do -","The Secretary, M.C., Kahnuwan"
