"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"17.","MORIGAON 
(4)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Borbori","NRM","CSC","NIL","Nawgaon","31","Paddy, Wheat, Mustard, 
Jute","NIL","Available","Moirabari Market Committee, 
Moirabari."
"2.","Moirabari","NRM","SWG, 
CSC","NIL","- do -","46","Rice,  Jute, Potato, 
Mustard","NIL","- do -","- do -"
"3.","Morigaon","NRM","SWG, 
MCG, 
PSG","NIL","- do -","35","Rice,  Arecanut, Potato, 
Wheat","63472","- do -","Morigaon Market Committee, 
Morigaon"
"4.","Nilbagaon","NRM","CSC, 
MCG","NIL","- do -","48","- do -","NIL","- do -","- do -"
"18.","NAWGAON 
(6)","","","","","","","","",""
"1.","Ambagan","RSM","SWG, 
MCG","NIL","Nawgaon","48","Paddy,  Wheat,  Potato, 
Jute","NIL","Available","Ambagan Market Committee, 
Ambagan."
"2.","Dhing","RPM","SWG, 
MCG","NIL","- do -","30","Rice,  Jute, Wheat, 
Mustard","26642","- do -","Dhing Regulated Market 
Committee, Dhing."
"3.","Lanka","RPM","SWG, 
MCG","NIL","- do -","65","Paddy,  Potato, Jute, 
Mustard","82656","- do -","Lanka Market Committee, Lanka."
"4.","Nawgaon","RSM","SWG, 
FCG","NIL","- do -","2","Rice,  Arecanut, Potato, 
Mustard","66325","- do -","Nawgaon Market Committee, 
Nawgaon."
"5.","Rupahi","RSM","MCG, 
CSC","NIL","- do -","25","Rice,  Potato, Wheat, Jute","NIL","- do -","- do -"
"6.","Raha","RSM","MCG, 
SWG","NIL","- do -","15","- do -","NIL","- do -","- do -"
