"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"22.","SONITPUR 
(5)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Barsata","RSM","MCG, 
CSC","Not 
available","Tezpur","35","Paddy,  Mustard, 
Wheat, Jute","NIL","Available","Dhekiajuli Regulated Market 
Committee, Dhekiajuli,  
Sonitpur"
"2.","Binduguri","RSM","MCG, 
CSC","- do -","- do -","28","- do -","NIL","- do -","- do -"
"3.","Dhekiajuli","RPM","MCG, 
SWG","- do -","- do -","48","Rice,  Potato,Jute, 
Tea","44333","- do -","- do -"
"4.","Panchnile","RSM","MCG","- do -","- do -","56","Rice, Potato, 
Mustard, Wheat","NIL","- do -","- do -"
"5.","Tezpur","RSM","SWG, 
FCG","- do -","- do -","4","- do -","46243","- do -","Tezpur Market Committee, 
Tezpur."
"23.","TINSUKIA 
(7)","","","","","","","","",""
"1.","Digbai","NRM","CSC","Not 
available","Tinsukia","70","Paddy,  Mustard, 
Potato, Maize","NIL","NIL","Tinsukia market Committee,    
Tinsukia"
"2.","Domdoma","RSM","MCG, 
PSG","- do -","- do -","84","Paddy, Mastard, 
Gingili, Arecanut","NIL","- do -","- do -"
"3.","Makum","RSM","PSG, 
SWG","- do -","- do -","65","Rice,  Potato, 
Mustard, Pulses","NIL","- do -","- do -"
"4.","Margerita","RSM","PSG","- do -","- do -","60","- do -","NIL","- do -","- do -"
"5.","Naharkatia","RSM","PSG, 
MCG","- do -","- do -","72","Rice,  Mustard , 
Fruits, Vegetables","334941","Available","- do -"
"6.","Sandhya","NRM","MCG, 
CSC","- do -","- do -","84","Paddy, Potato,  
Mustard, Vegetable","NIL","NIL","- do -"
"7.","Tinsukia","RPM","SWG, 
FCG, 
PSG","- do -","- do -","1","- do -","336142","Avaialble","- do -"
