"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"1.","BARPETA 
(6)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Anandnagar","RSM","CSC","NIL","Barpeta 
Road","15","Potato,  Paddy, 
Arecanut, Brinjal","NIL","NIL","Anandnagar Market 
Committee, Distt. Barpeta."
"2.","Barpeta Road","RSM","FCG, 
SWG","NIL","- do -","1","Rice,  Potato, Arecanut, 
Vegetable","63469","Available","Barpeta Road, Distt. Barpeta."
"3.","Bohorihat","RSM","MCG","NIL","- do -","20","Paddy,  Mustard seed, 
Arecanut, Vegetable","NIL","NIL","Bohorihat Market Committee 
Distt. Barpeta"
"4.","Howly","RSM","MCG, 
CSC","NIL","- do -","2","Rice,  Jute, Potato, 
Mustard","88434","Available","Howly Market Committee, 
Distt. Barpeta"
"5.","Pathsala","RSM","CSC","NIL","Pathsala","1","Mustard,  Rice, 
Cabbage, Brinjal","NIL","NIL","Pathsala Town Committee 
Distt. Barpeta"
"6.","Sorbhog","RSM","MCG, 
CSC","NIL","Sorbhog","1","Rice,  Potato, Mustard, 
Jute","NIL","NIL","-- do --"
"2.","BONGAIGAON 
(3)","","","","","","","","",""
"1.","Abhyapur","NRM","CSC","NIL","Bongaigaon 
Jn.","72","Rice,  Jute, Mustard, 
Potato","NIL","Available","Abhyapur Market Committee, 
Distt. Bongaigaon"
"2.","Bongaigaon","RPM","MCG, 
SWG","NIL","- do -","1","Potato,  Rice, Till, 
Vegetable","82044","Available","Bongaigaon Regulated Market 
Committee, Distt. Bongaigaon"
"3.","Bijni","RSM","CSC","NIL","- do -","36","Paddy,  Mustard seed, 
Jute, Pineapple","NIL","Available","Bijni Town Committee, Distt. 
Bongaigaon."
