"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"10.","HAILAKANDI 
(3)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Hailakandi","RPM","SWG, 
CSC, 
MCG","NIL","Silcher","63","Rice,  Potato, Mustard, 
Arecanut","23783","Available","Hailakandi Regulated Market 
Committee, P.O. hailakandi."
"2.","Katichera","RSM","SWG, 
CCS","NIL","- do -","72","Paddy,  Mustard, Wheat,  
Arecanut","NIL","- do -","- do -"
"3.","Lalabuzon","RSM","SFG, 
MCG","NIL","- do -","56","Rice,  Jute, Potato, Wheat","NIL","- do -","- do -"
"11.","JORHAT 
(5)","","","","","","","","",""
"1.","Jorhat","RPM","SWG, 
MCG","NIL","Mairani","32","Rice,  Matakalai, Potato, 
Mustard seed","326002","Available","Jorhat Regulated Market 
Committee,       P.O. Jorhat."
"2.","Kamalbari","RPM","CSC, 
MCG","NIL","- do -","56","Rice,  Arecanut, Potato, 
Mustard seed","330012","- do -","Kamalbari market Committee,     
P.O. Kamalbari."
"3.","Mairani","RSM","CSC, 
MCG","NIL","- do -","30","Paddy,  Potato, Mustard 
seed, Arecanut","330612","- do -","Mairani Market Committee,  
P.O. Mairani."
"4.","Meleng","NRM","CSC","NIL","- do -","62","Mustard,  Wheat, Potato, 
Jute","NIL","Not 
Available","--"
"5.","Titabar","RPM","SWG, 
MCG","NIL","- do -","42","Rice,  Potato, Mustard, 
Pulses","NIL","Available","Titabar Market Committee, 
Titabar."
