"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"7.","DIBRUGARH 
(4)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Dibrugarh","RPM","CSC, 
SWG","NIL","Dibrugarh","1","Rice,  Mustard seed, 
Potato, Orange","30223","Available","Dibrugarh Regulated Market 
Committee, P.O. Dibrugarh."
"2.","Khowang","RSM","SFG, 
MCG","NIL","- do -","46","Paddy,  Mustard seed, 
Orange, Vegetables","NIL","NIL","- do -"
"3.","Moranhat","RSM","MCG, 
SWG","NIL","- do -","35","- do -","NIL","NIL","- do -"
"4.","Tingkhong","RSM","CSC","NIL","- do -","50","- do -","NIL","NIL","- do -"
"8.","GOPALPARA 
(6)","","","","","","","","",""
"1.","Dudhnoi","RSM","MCG, 
SWG","NIL","Goalpara","25","Paddy,  Mustard, 
Pineapple, Vegetables","NIL","NIL","Goalpara Regulated Market 
Committee, Goalpara.."
"2.","Dadengiri","RSM","- do -","NIL","- do -","70","Banana,  Pineapple, 
Kharif Vegetables","NIL","Available","- do -"
"3.","Goalpara","RPM","FCG, 
SWG","NIL","- do -","3","Rice,  Potato, Jute, 
Mustard","40080","Available","- do -"
"4.","Galeswar","RSM","- do -","NIL","- do -","47","Rice,  Jute, Ginger, 
Mustard","NIL","NIL","- do -"
"5.","Lakhipur","RSM","SWG, 
CSC","NIL","- do -","54","Paddy,  Mustard oil seed, 
Jute, Pulses","NIL","NIL","Lakhipur Market Committee, 
Lakhipur."
"6.","Krishnai","RSM","MCG, 
SWG","NIL","- do -","68","Rice,  Ginger, Banana, 
Jute","NIL","NIL","Krishnai Market Committee, 
Krishnai."
"9.","GOLAGHAT (5)","","","","","","","","",""
"1.","Barpather","RSM","CSC, 
SWG","NIL","Golaghat","25","Paddy,  Wheat, Jute, 
Mustard","NIL","NIL","Dergoan Market Committee, 
Dergoan."
"2.","Dergaon","RSM","MCG, 
SPG","NIL","- do -","37","- do -","NIL","NIL","- do -"
"3.","Dakshinhengara","RSM","SWG, 
MCG","NIL","- do -","53","Rice,  Coconut, 
Matakalai, Pineapple","NIL","Available","- do -"
"4.","Golaghat","RPM","RCG, 
SWG","NIL","- do -","2","Rice,  Mustard, Arhar, 
Betelnut","87026","- do -","Golaghat Regulated Market 
Committee, Golaghat."
"5.","Sarupather","RSM","CSC","NIL","- do -","46","Rice, Jute, Mesta, 
Mustard","325541","- do -","- do -"
