"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"6.","DUMKA          
(10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Dumka","RPM","CSC, PSG","PRC","Jasidih","100","Paddy,  Maize, 
Onion,  Potato,  
Jowar","06434- 
22414","NIL","APMC,  Dumka, Jharkhand."
"2.","Asan Bani","RSM","- do -","NIL","NIL","NIL","- do -","NIL","NIL","-  do -"
"3.","Barmasia","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"4.","HansdiHa","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"5.","Jarmundi","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"6.","Kathikund","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"7.","Nunihat","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"8.","Raneshwar","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"9.","Sariya Hat","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"10.","Thawa","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"7.","DUMKA          
 (7)","","","","","","","","",""
"1.","Jamtara","RPM","CSC, PSG","NIL","Jamtara","1","Paddy, Maize 
Potato, 
Vegetables","06433- 
22376","NIL","APMC,  Jamtara, Jharkhand."
"2.","Fatehpur","RSM","PSG","NIL","NIL","NIL","- do -","NIL","NIL","-  do -"
"3.","Karmatand","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"4.","Kundahit","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"5.","Mihijam","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"6.","Nalagram","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"7.","Narayanpur","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
