"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"11.","GUMLA          
(11)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Gumla","RPM","CSC, PSG","NIL","Ranchi","100","Paddy, Lac & 
Other Forest 
Pproduce, 
Vegetables, 
Groundnut","06524-
23240","NIL","APMC,  Gumla, Jharkhand."
"2.","Palkot","RSM","CSC","NIL","NIL","NIL","- do -","NIL","NIL","-  do -"
"3.","Sisaj","- do -","PSG","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"4.","Simdega","RPM","CSC, PSG","NIL","Ranchi","170","- do -","For 1 to 7 
Sub  
Market","NIL","APMC., Simdega, Jharkhand."
"5.","Bano Bazar","RSM","PSG","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"6.","Jaldega Bazar","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"7.","Kersai Bazar","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"8.","Kolebira Thana","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"9.","Kurdeg Bazar","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"10.","Lacharagarh Bazar","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
"11.","Sisai Togar Bazar","- do -","- do -","NIL","NIL","NIL","- do -","NIL","NIL","- do -"
