"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"1.","HARIDWAR 
(3)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Haridwar","RPM","Nil","Nil","Haridwar","4","Paddy, Potato, Vegetables, 
Fruits","0133-
450431","Yes","NMS, Jwalapur, Hardiwar"
"2.","Manglor","- do -","MCG","- do -","Roorkee","18","Jaggery, Khandshari, Rice, 
Wheat","01332-
22250","Nil","NMS, Kurdi Manglore, 
Haridwar"
"3.","Roorkee","- do -","Nil","- do -","- do -","5","Jaggery, Potato, 
Vegetables, Fruits","01332-
75800","- do -","NMS, Rampur Chungi, 
Dehradun Rd.,Roorkee, 
Haridwar"
"2.","NAINITAL    
(2)","","","","","","","","",""
"1.","Naveen Mandi 
Sthal, Barely 
Rd., Haldwani","RPM","MCG","Nil","Haldwani","3","Potato, Tomato, Wheat, 
Rice","05946-
52090","Nil","Krishi Utpadan, Naveen 
Mandi Sthal, Barely Rd.,       
Haldwani-263139"
"2.","Ramnagar","- do -","- do -","- do -","Ramnagar","1","Paddy, Mango, Wheat, 
Banana","05947-
52133","Yes","Naveen Mandi, Shtal Shivlal 
Pur, Ramnagar"
