"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"3.","UDHAM 
SINGH 
NAGAR (7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bajpur","RPM","CWG, 
PSG","PRC","Bajpur","0.5","Rice, Wheat, Paddy, Lahi","05949-
81008","Nil","NMS, Krishiutpathak, Bajpur"
"2.","Gadarpur","- do -","SWG","Nil","Rudarpur","22","Rice, Wheat, Paddy, 
Potato","05949-
71159","- do -","Galla Mandi, Gadar Pur"
"3.","Kashipur","- do -","- do -","- do -","Kashipur","3","Rice, Wheat, Paddy, 
Potato","05947-
75179","- do -","NMS, Muradabad Rd., 
Kashipur"
"4.","Khatima","- do -","PSG, 
SWG, 
MCG","- do -","Khatima","1.5","Rice, Wheat, Paddy","05943-
55084","- do -","NMS, Pillibhit, Rd., Khatima"
"5.","Kichha","- do -","PSG","- do -","Kichha","2","- do -","05944-
64392","Yes","NMS, Haldwani, Kichha Rd.,"
"6.","Rudarpur","- do -","SWG, 
MCG, 
PSG","- do -","Rudarpur","5","Rice, Wheat, Paddy, Peas","05944-
41710","Yes","NMS,  Rudarpur, Kichha Rd."
"7.","Sitarganj","- do -","MCG, 
CWG","- do -","- do -","28","- do -","05948-
54097","- do -","NMS, Sitarganj"
"4.","DEHRADUN 
(4)","","","","","","","","",""
"1.","Chakrauta","RPM","Nil","Nil","Dehradun","85","Ginger, Potato, Apple, 
Veg.","Nil","Nil","NMS, Sayya, (Chakrauta)"
"2.","Niranganpur","- do -","SWG, 
MCG","- do -","- do -","3","Potato, Green peas, 
Ginger, Litchi","0135-
620253","Yes","NMS, Niranjan pur, Dehradun"
"3.","Rishikesh","- do -","MCG","- do -","Rishikesh","4","Potato, Tomato, Ginger, 
Medicinal plants","0135-
430421","- do -","NMS, Haridwar Rd., 
Rishikesh"
"4.","Vikashnagar","- do -","Nil","- do -","Dehradun","35","Ginger, Mangoes, Potato","0135-
85880","- do -","NMS, Dehradun Rd., Vikash 
Nagar"
"5.","POODY        
(1)","","","","","","","","",""
"1.","Kotdwar","NRM 
Nil 
Nil 
Kotdwar 
1 
Potato, Mangoes, Paddy, 
01382-
Nil 
Kirshi Utpadan Mandi, Saruti 
Vegetables 
22170 
Nazbabad Rd., Kotwar","","","","","","","",""
