"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"1.","NORTH GOA 
DISTT 
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Banastorim","NRM","PSG","NIL","Carambolim","8","Onion, Potato, 
Banana, Coconut","NIL","NIL","NIL"
"2.","Bicholim","NRM","PSG","NIL","Tivim","22","Cashewnut, Coconut, 
Arecanut, Onion","NIL","NIL","NIL"
"3.","Mapusa","RSM","MCG/       
RCG -21 
Godowns","NIL","- do -","15","Cashewnut, Coconut, 
Banana, Onion","262809","NIL","GSA Marketing Board 
Subyard, New Bus 
stand, Mapusa,        
Goa – 403507"
"4.","Panaji","NRM","PSG","NIL","Carambolim","14","Cereals, Fruits, 
Onion, Potato","NIL","NIL","NIL"
"5.","Pernem","RSM","MCG  
 Godown -21","NIL","Pernem","2","Cashewnuts, 
Betelnut, Coconut, 
Banana","NIL","NIL","GSA Marketing Board, 
Subyard, Pernem,    
Goa – 403512"
"6.","Sanquelim","RSM","MCG/       
RCG -21 
Godowns","NIL","Tivim","25","Cashewnuts, 
Betelnut, Coconut, 
Banana","364265","NIL","GSA Marketing Board, 
Subyard, Sanguelim 
Goa – 403505"
"7.","Volpoi","RSM","MCG/ RCG -8 
Godown","NIL","- do -","45","Cashewnuts, 
Betelnut, Coconut, 
Banana","NIL","NIL","GSA Marketing Board, 
Subyard, Benind Coast, 
Volpoi, Goa -403506"
