"Name of district and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"4.","RI-BHOI               
(3)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Nongpoh","NRM","PSG","Nil","Guwahati","50","Ginger, Pineapple, 
Banana, Tomato","Nil","Nil","P.O.Nongpoh, Distt. Ri-bhio"
"2.","Umsning","- do -","- do -","- do -","- do -","75","Ginger, Tomato, 
Turmeric, Arecanut","- do -","- do -","P.O.Umsning, Distt. Ri-bhoi"
"3.","Umroi","- do -","Nil","- do -","- do -","85","Ginger, Tomato, 
Chillies , Arecanut","- do -","- do -","P.O. Umroi, Distt. Ri-bhoi"
"5.","SOUTH GARO HILLS      
(2)","","","","","","","","",""
"1.","Baghmara","NRM","PSG","- do -","Dudnoi","100","Pineapple, Orange, 
Chillies, 
Cashewnut","- do -","- do -","P.O.Baghmara, South Garo 
Hills."
"2.","Gasuapara","- do -","- do -","- do -","- do -","150","Pineapple, Orange, 
Arecanut, Jute","- do -","- do -","P.O. Gasuapura, South Garo 
Hills."
"6.","WEST GARO HILLS       
(4)","","","","","","","","",""
"1.","Chibinang","NRM","PSG","Nil","Krishnai 
(Assam)","50","Jute, Pineapple, 
Ginger, Cashewnut","Nil","Nil","P.O.Chibinang, West Garo 
Hills"
"2.","Garobadha Cattle Market","RPM","RCG","PSC","- do -","110","Cow, Pig, Goat, 
Buffalo","03651- 
62450","- do -","The Agril. Marketing 
Inspector, Garobadha Cattle 
Market, West Garo Hills"
"3.","Mahendraganj","NRM","PSG","Nil","- do -","150","Paddy, Potato, 
Jute,  Cashewnut","Nil","- do -","P.O. Mahndraganj, West 
Garo Hills."
"4.","Rongram","- do -","SFG","- do -","- do -","80","Ginger, Orange, 
Cotton, Pineapple","- do -","- do -","P.O. Rongram, West Garo 
Hills"
"7.","WEST KHASI HILLS      
(2)","","","","","","","","",""
"1.","Nongstoin","NRM","PSG","Nil","Guwahati","190","Orange, Chillies, 
Potato, Ginger","- do -","- do -","P.O. Nongstoin, West Khasi 
Hills"
"2.","Mawkynwat","- do -","Nil","- do -","- do -","175","Potato,  Bayleaf, 
Orange, Pineapple","- do -","- do -","P.O. Mawkynwat, West 
Khasi Hills"
"3.","Markasa","- do -","Nil","- do -","- do -","190","Ginger, Orange, 
Potato, Chillies","- do -","- do -","P.O. Markasa, West Khasi 
Hills"
