"Name of district and 
wholesale  market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance     
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"1.","EAST GARO HILLS  
(3)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Williamnagar","NRM","PSG, 
FCG","NIL","Dudnoi 
(Assam)","80","Ginger, Orange, Tapioca,  
Betal vine","Nil","Nil","P.O.Williamnagar, East Garo 
Hills"
"2.","Mendipathar","NRM","PSG","- do -","- do -","35","Jute, Arecanut, Ginger, 
Maize","- do -","- do -","P.O.Mendipathar, East Garo 
Hills"
"3.","Rongjeng","NRM","PSG","- do -","- do -","40","Ginger, Cotton, Chillies,  
Betal vine","- do -","- do -","P.O.Rangjeng, East Garo 
Hills"
"2.","EAST KHASI HILLS 
(3)","","","","","","","","",""
"1.","Mawiong","RPM","MSG, 
RCG","PSC","Guwahati 
(Assam)","100","Potato, Broom-stick, Bay 
leaf, Torch-wood","0364- 
227247,
547386","Nil","The Srecretary, Mawiong 
Market, Shillong – 793008"
"2.","Sohra","NRM","PSG","Nil","- do -","150","Orange, Arecanut, 
Banana, Pineapple","Nil","- do -","P.O.Sohra, East Khasi Hills"
"3.","Smit","NRM","Nil","- do -","- do -","110","Potato, Cabbage, 
Cauliflower, Chillies","- do -","- do -","P.O.Smit, East Khasi Hills"
"3.","JAINTIA HILLS 
(2)","","","","","","","","",""
"1.","Jowai","NRM","PSG","Nil","Badarpur 
(Assam)","140","Turmeric, Orange, Rice,  
Arecanut","- do -","Nil","P.O. Jowai, Jaintia Hills"
"2.","Dawki","- do -","- do -","- do -","Guwahati","185","Pineapple, Betal nut, 
Orange,  Betal vine","- do -","- do -","P.O. Dawki, Jaintia Hills"
