"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"8.","KARIMNAGAR 
(19)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"13.","Manthani","NRM","NIL","NIL","Peddapally","40","Paddy,  Maize,  
Cotton","08729-
59108","NIL","The Secretary, Agril. Market 
Committee, Manthani."
"14.","Metpally","RPM","MCG","NIL","Karimnagar","85","Paddy,  Turmeric, 
Groundnut, Castor","08725-
65054","NIL","The Secretary, Agril. Market 
Committee, Metpally."
"15.","Peddapalli","RPM","MCG","NIL","Peddapally","1","Paddy,  Pulses, 
Groundnut, Castor","08728-
24048","NIL","The Secretary, Agril. Market 
Committee, Peddapalli."
"16.","Pothgal","NRM","NIL","NIL","Kamareddy","60","Paddy,  Cotton","08723-
28722","NIL","The Secretary, Agril. Market 
Committee, Pothgal."
"17.","Siricilla","NRM","MCG","NIL","Karimnagar","43","Paddy, Cotton,  
Maize","08723-
32793","NIL","The Secretary, Agril. Market 
Committee, Siricilla."
"18.","Sultanabad","RPM","MCG","NIL","Sultanabad","1","Paddy,  Pulses, 
Groundnut,  Castor","08728-
27241","NIL","The Secretary, Agril. Market 
Committee, Sultanabad."
"19.","Vemulawada","RPM","MCG","NIL","Karimnagar","32","Paddy,  Pulses, 
Groundnut,  Castor","08723-
36093","NIL","The Secretary, Agril. Market 
Committee, Vemulawada."
