"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"23.","WEST GODAWARI 
(16)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Achanta","NRM","MCG","NIL","Attili","15","Paddy, Coconuts, 
Greengram, Blackgram","08814-
56260","NIL","The Secretary, Agril. Market 
Committee, Achanta."
"2.","Akiveedu","NRM","MCG","NIL","Akiveedu","1","Paddy, Coconuts, Fish, 
Prawns","08816-
52032","NIL","The Secretary, Agril. Market 
Committee, Akiveedu."
"3.","Attili","NRM","MCG","NIL","Attili","1","Paddy, Coconuts, Fish, 
Prawns","08819-
55570","NIL","The Secretary, Agril. Market 
Committee, Attili."
"4.","Bhimadole","NRM","MCG","NIL","Bhimadole","0.5","Paddy","08829-
22028","NIL","The Secretary, Agril. Market 
Committee, Bhimadole."
"5.","Bhimavaram","NRM","MCG","NIL","Bhimavara
m","1","Paddy, Coconuts, Fish, 
Prawns","08816-
33446","NIL","The Secretary, Agril. Market 
Committee, Bhimavaram."
"6.","Chintalapudi","NRM","MCG","NIL","Eluru","25","Paddy, Pulses, 
Cashewnuts, Maize","08823-
22239","NIL","The Secretary, Agril. Market 
Committee, Chintalapudi."
"7.","Eluru","RPM","MCG","NIL","Eluru","1","Paddy, Pulses, Maize, 
Groundnut","08812-
30426","NIL","The Secretary, Agril. Market 
Committee, Eluru."
"8.","Gopalapuram","NRM","MCG","NIL","Kovur","20","Paddy, Coconuts, 
Cashewnuts, Maize","08813-
74616","NIL","The Secretary, Agril. Market 
Committee, Gopalapuram."
"9.","Kovur","NRM","N.A.","NIL","Kovur","1","Paddy, Coconuts, 
Cashewnuts, Banana","08813-
31548","NIL","The Secretary, Agril. Market 
Committee, Kovur."
"10.","Narasapuram","NRM","N.A.","NIL","Narasapura
m","0.5","Paddy, Coconuts","08814-
73367","NIL","The Secretary, Agril. Market 
Committee, Narasapuram."
"11.","Palakole","RPM","MCG","NIL","Palakole","1","Paddy, Coconuts, 
Jaggery","08814-
22875","NIL","The Secretary, Agril. Market 
Committee, Palakole."
"12.","Penugonda","NRM","MCG","NIL","Attili","10","Paddy, Banana, 
Coconuts, Turmeric","08819-
47290","NIL","The Secretary, Agril. Market 
Committee, Penugonda."
"13.","Polavaram","RPM","MCG","NIL","Nidadavulu","5","Paddy, Cashew nuts","08821-
25332","NIL","The Secretary, Agril. Market 
Committee, Polavaram."
"14.","T.P. Gudem","RPM","MCG","NIL","T.P. Gudem","1","Paddy,  Pulses, 
Tamarind, Gingili","08818-
22989","NIL","The Secretary, Agril. Market 
Committee, T.P. Gudem."
"15.","Tanuku","NRM","N.A.","NIL","Tanuku","1","Paddy, Coconuts, 
Banana, Jaggery","08819-
22264","NIL","The Secretary, Agril. Market 
Committee, Tanuku."
"16.","Ungertur","NRM","N.A.","NIL","Ungutur","1","Paddy, Banana, 
Cashewnuts, Mangoes","08818-
61478","NIL","The Secretary, Agril. Market 
Committee, Ungutur."
