"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"16.","NIZAMABAD 
(9)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Armoor","NRM","MCG","N.A.","Nizamabad","30","Paddy & Maize","958463-22203","N.A.","The Secretary, Agril. 
Market Committee, Armoor."
"2.","Banswada","NRM","MCG","N.A.","Bodhan","15","Paddy, Maize, 
Groundnut","958466-77047","N.A.","The Secretary, Agril. 
Market Committee, 
Banswada."
"3.","Bodhan","NRM","MCG","N.A.","Bodhan","1.5","Paddy, Onion, 
Cotton, Garlic","958467-22139/  
72930","N.A.","The Secretary, Agril. 
Market Committee, Bodhan."
"4.","Gandhari","NRM","MCG","N.A.","Kamareddy","25","Paddy,  Maize, 
Jaggery, Cattle","Nil","N.A.","The Secretary, Agril. 
Market Committee, 
Gandhari."
"5.","Kamareddy","RPM","MCG","N.A.","Kamareddy","1","Maize & Jaggery","958468-23034","N.A.","The Secretary, Agril. 
Market Committee, 
Kamareddy."
"6.","Madnoor","RPM","MCG","N.A.","Nizamabad","120","Cotton","958464-25224/ 
75091","N.A.","The Secretary, Agril. 
Market Committee, 
Madnoor."
"7.","Nizamabad","RPM","MCG","PRC","Nizamabad","1","Paddy,  Maize, 
Jaggery, Onion","958462-31993/  
20307/ 21348","N.A.","The Secretary, Agril. 
Market Committee, 
Nizamabad."
"8.","Pitlam","RPM","MCG","N.A.","Bodhan","60","Paddy,  Pulses, 
Groundnut","Nil","N.A.","The Secretary, Agril. 
Market Committee, Pitlam."
"9.","Yellareddy","NRM","MCG","N.A.","Kamareddy","45","Paddy & Jaggery","958465-67061","N.A.","The Secretary, Agril. 
Market Committee, 
Yellareddy."
