"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"15.","NELLORE 
(11)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Atmakur","NRM","MCG","NIL","Nellore","110","Paddy, Bajra, Limes","08627-82239","NIL","The Seecretary, Agril. Market 
Committee, Atmakur."
"2.","Gudur","NRM","NIL","PRC","Gudur","1","Paddy,  Gingili, 
Limes","08624-51660","NIL","The Seecretary, Agril. Market 
Committee, Gudur."
"3.","Kavali","NRM","MCG","NIL","Kavali","1","Paddy, Cotton, Pulses","08626-43743","NIL","The Seecretary, Agril. Market 
Committee, Kavali."
"4.","Kovur","NRM","MCG","NIL","Nellore","2","Paddy, Fish, Prawns","08622-71147","NIL","The Seecretary, Agril. Market 
Committee, Kovur."
"5.","Naidupet","NRM","MCG","NIL","Naidupet","1","Paddy","08623-64297","NIL","The Seecretary, Agril. Market 
Committee, Naidupet."
"6.","Nellore","NRM","MCG","NIL","Nellore","1","Paddy & Pulses","0861-326760","NIL","The Seecretary, Agril. Market 
Committee, Nellore."
"7.","Rapur","NRM","MCG","NIL","Venkatagiri","35","Paddy","08621-86128","NIL","The Seecretary, Agril. Market 
Committee, Rapur."
"8.","Sullurpet","NRM","MCG","NIL","Sullurpet","4","Paddy & Bajra","08623-62057","NIL","The Seecretary, Agril. Market 
Committee, Sullurpet."
"9.","Udayagiri","NRM","MCG","NIL","Venkatagiri","100","Paddy & Bajra","08629-49520","NIL","The Seecretary, Agril. Market 
Committee, Udayagiri."
"10.","Vekadu","NRM","NIL","NIL","Gudur","35","Paddy","08624-58328","NIL","The Seecretary, Agril. Market 
Committee, Vakadu."
"11.","Vekantagiri","NRM","NIL","NIL","Venkatagiri","1","Paddy","08625-67124","NIL","The Seecretary, Agril. Market 
Committee, Venkatagiri."
