"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"7.","HYDERABAD 
(12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Madanapata","RPM","NIL","NIL","Malakpet","5","Tomato, Brinjal, Green 
Chillies,  Cabbage","040-
4529431","NIL","The Secretary, Sub-office, 
Madanapata Agril Market 
Committee."
"2.","Chandrayangutta  NRM","","NIL","NIL","Falaknama","2","Nil","040-
4441264","NIL","The Secretary, Sub-office, 
Chandrayangutta, Kashavaragin 
Agril Market Committee."
"3.","Begambazar","NRM","NIL","NIL","Hyderabad","2","Foodgrains,  Pulses","040-
4618710","NIL","The Secretary, Sub-office, 
Kishangunj Agril Market Committee."
"4.","Gaddiannaram","RPM","NIL","PRC","Malakpet","6","Mango, Mosambi, 
Orange & Grapes","040-
4045089","NIL","The Secretary, Sub-office, 
Gaddiannaram  Agril Market 
Committee."
"5.","Gudimalkapur","RPM","NIL","NIL","Hyderabad","5","Tomato,  Potato & 
Vegetables","040-
3514767","NIL","The Secretary, Sub-office, 
Gudimalkapur  Agril Market 
Committee."
"6.","L.B. Nagar","RPM","NIL","NIL","Malakpet","8","Tomato,  Potato & 
Other Vegetables","040-
4030033","NIL","The Secretary, Sub-office, L.B. 
Nagar  Agril Market Committee."
"7.","Secunderabad","RPM","NIL","NIL","Secunderab
ad","0.5","Tomato,  Potato & 
Other Vegetables","040-
6217883","NIL","The Secretary, Sub-office, 
Secunderabad,  Agril Market 
Committee."
"8.","Malakpet","RSM","NIL","NIL","Malakpet","0.5","Oilseeds","040-
4549023","NIL","The Secretary, Sub-office, Malakpet,  
Agril Market Committee."
"9.","Miralam mandi","RPM","NIL","NIL","Hyderabad","5","Tomato,  Potato & 
Other Vegetables","040-
4527600","NIL","The Secretary, Sub-office, Miralam 
mandi, Agril Market Committee."
"10.","Bowenpally","RSM","NIL","NIL","Secunderab
ad","5","Nil","040-
7841250","NIL","The Secretary, Sub-office, 
Bowenpally,  Agril Market 
Committee."
"11.","Mahaboob-
mansion","RPM","NIL","NIL","Malakpet","1","Onion , Chillies, 
Garlic, Ginger","040-
4549023","NIL","The Secretary, Sub-office, 
Mahboobmansion, Agril Market 
Committee."
"12.","Kishan gunj","NRM","NIL","NIL","Hyderabad","2","Pulses","0404-
618710","NIL","The Secretary, Sub-office, Kishan 
gunj,  Agril Market Committee."
