"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities arriving 
in the market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"13.","MEDAK 
(10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Dubbak","NRM","MCG","NIL","Akkanapet","100","Paddy, Maize, 
Sunflower, Groundnut","958457-27383","NIL","The Secretary, Agril. Market 
Committee, Dubbak."
"2.","Gajwel","NRM","NIL","NIL","Secunderab
ad","80","Maize, Paddy, Cotton","958454-32125","NIL","The Secretary, Agril. Market 
Committee, Gapwel."
"3.","Jogipet","RPM","MCG","NIL","Akkanapet","90","Maize, Pulses, Onion, 
Groundnuts","958450-72045","NIL","The Secretary, Agril. Market 
Committee, Jogipet."
"4.","Medak","NRM","MCG","NIL","Akkanapet","40","Paddy, Cattle","911/958452- 
21560","NIL","The Secretary, Agril. Market 
Committee, Medak."
"5.","Narayankhed","NRM","NIL","NIL","Zaheerabad","35","Paddy","958456-84500","NIL","The Secretary, Agril. Market 
Committee, Narayankhed."
"6.","Narsapur","NRM","NIL","NIL","Secunderab
ad","70","Paddy, Maize, 
Groundnut, Cotton","958458-86209","NIL","The Secretary, Agril. Market 
Committee, Narsapur."
"7.","Ramayampet","RPM","MCG","NIL","Akkanapet","10","Paddy, Maize,","958452-24364","NIL","The Secretary, Agril. Market 
Committee, Pamayampet."
"8.","Sadasivpet","RPM","MCG","NIL","Secunderab
ad","80","Onion, Turmeric, Pulses","958455-52027","NIL","The Secretary, Agril. Market 
Committee, Sadashivpet."
"9.","Siddipet","RPM","MCG","NIL","Akkanapet","80","Paddy, Maize, 
Groundnut, Sunflower","958457-20040/ 
22535","NIL","The Secretary, Agril. Market 
Committee, Siddipet."
"10.","Zaheerabad","RPM","MCG","NIL","Zaheerabad","1","Pulses, Neemseed, 
Sunflower","958451-82024","NIL","The Secretary, Agril. Market 
Committee, Zaheerabad."
