"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities arriving 
in the market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"17.","PRAKASAM 
(14)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Addanki","RPM","MCG","NIL","Ongole","40","Cattle","08593-23239","NIL","The Secretary, Agril. Market 
Committee, Addanki."
"2.","Chirala","RPM","MCG","NIL","Chirala","1","Cotton","08594-32691","NIL","The Secretary, Agril. Market 
Committee, Chirala"
"3.","Cumbum","NRM","MCG","NIL","Cumbum","1","Cotton, Pulses, Bajra, 
Sunflower","08406-32206","NIL","The Secretary, Agril. Market 
Committee, Cumbum."
"4.","Darsi","NRM","MCG","NIL","Kuricheedu","20","Paddy, Cotton, Bajra, 
Pulses","08407-53237","NIL","The Secretary, Agril. Market 
Committee, Darsi."
"5.","Giddalur","NRM","MCG","NIL","Giddalur","1","Cotton, Sunflower, 
Pulses, Banana","08405-42066","NIL","The Secretary, Agril. Market 
Committee, Giddalur."
"6.","Kandukuru","NRM","MCG","NIL","Singaraya-
konda","10","Paddy, Cotton, Bajra, 
Pulses","08598-23522","NIL","The Secretary, Agril. Market 
Committee, Kandukuru."
"7.","Kanigiri","NRM","MCG","NIL","Cumbum","65","Paddy, Bajra, 
Sunflower, Pulses","08402-72145","NIL","The Secretary, Agril. Market 
Committee, Kanigiri."
"8.","Kondepi","RPM","NIL","NIL","Singaraya-
konda","5","Cattle","08598-36187","NIL","The Secretary, Agril. Market 
Committee, Kondepi."
"9.","Maddippadu","RPM","MCG","NIL","Ongole","16","Cattle","08592-76716","NIL","The Secretary, Agril. Market 
Committee, Maddippadu."
"10.","Markapur","RPM","NIL","NIL","Markapur","4","Cotton & Chillies","08596-22013","NIL","The Secretary, Agril. Market 
Committee, Markapur."
"11.","Martur","RPM","MCG","NIL","Ongole","57","Cotton","08404-71217","NIL","The Secretary, Agril. Market 
Committee, Martur."
"12.","Ongole","RPM","NCG","NIL","Ongole","4","Groundnut","08592-33218","NIL","The Secretary, Agril. Market 
Committee, Ongole."
"13.","Parchur","RPM","MCG","NIL","Chirala","20","Cotton","08594-43282","NIL","The Secretary, Agril. Market 
Committee, Parchur."
"14.","Podili","NRM","NIL","NIL","Markapur","40","Paddy, Bajra, Pulses","08499-62293","NIL","The Secretary, Agril. Market 
Committee, Podili."
