"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"1.","BISHENPUR     
(16)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Adilabad","RPM","MCG","NIL","Adilabad","0","Cotton, Pulses","08732-30626","NIL","The Secretary Agril. Market 
Committee Adilabad ."
"2.","Asifabad","NRM","MCG","NIL","Sirpurka- 
gaznagar","27","Cotton, Pulses","08733-79532","NIL","The Secretary Agril. Market 
Committee, Asifabad."
"3.","Bhainsa","RPM","MCG","NIL","Basar","15","Cotton, Maize, 
Sunflowe,  Pulses","08752-
310121","NIL","The Secretary Agril. Market 
Committee, Bhainsa."
"4.","Boath","RPM","MCG","NIL","Adilabad","60","Cotton, Pulses","08751-65218","NIL","The Secretary Agril. Market 
Committee, Boath."
"5.","Chennur","RPM","MCG","NIL","Manchenyal","35","Paddy, Maize","08737-41227","NIL","The Secretary Agril. Market 
Committee, Chennur."
"6.","Echoda","RPM","MCG","NIL","Adilabad","35","Jowar, Pulses","08751-61341","NIL","The Secretary Agril. Market 
Committee, Echoda."
"7.","Inderavally","RPM","MCG","NIL","Adilabad","40","Cotton, Pulses","08731-77425","NIL","The Secretary Agril. Market 
Committee, Inderavally."
"8.","Jainath","NRM","N.A.","NIL","Adilabad","20","Cotton","08732-29248","NIL","The Secretary Agril. Market 
Committee, Jainath."
"9.","Jainoor","NRM","MCG","NIL","Sirpur-      
kagaznagar","77","Cotton","08731-76690","NIL","The Secretary Agril. Market 
Committee, Jainoor."
"10.","Kagaznagar","RPM","MCG","NIL","Sirpur-      
kagaznagar","0","Gingely, Pulses","08738-68090","NIL","The Secretary Agril. Market 
Committee, Kagaznagar."
"11.","Khanapur","NRM","MCG","NIL","Mancheriyal","80","Paddy, Maize, 
Onion,  Orange","08730-73559","NIL","The Secretary Agril. Market 
Committee, Khannapur."
"12.","Kuber","NRM","N.A.","NIL","Basar","45","Cotton","08752-33143","NIL","The Secretary Agril. Market 
Committee, Kuber."
"13.","Luxettipet","RPM","MCG","NIL","Manchenyal","25","Paddy, Maize","08739-38069","NIL","The Secretary Agril. Market 
Committee, Luxellip-et."
"14.","Mancheriyal","NRM","MCG","NIL","Manchenyal","0","Paddy, Maize","08736-52043","NIL","The Secretary Agril. Market 
Committee, Mancheriyal."
"15.","Nirmal","NRM","MCG","NIL","Basar","65","Paddy, Cotton","08734-42538","NIL","The Secretary Agril. Market 
Committee, Nirmal."
"16.","Sarangapur","RPM","MCG","NIL","Basar","80","Paddy, Cotton, Maize  08734-48118","","NIL","The Secretary Agril. Market 
Committee, Sarangapur."
