"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal 
address"
"21.","VISAKHAPATNAM 
(8)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Anakapalli","RPM","NIL","PRC","Anakapalli","1","Jaggery, Paddy","08924-22347","YES","The Secretary. Agril. 
Market Committee, 
Anakapalli."
"2.","Bheemunipatnam","NRM","NIL","PRC","Visakhapatnam","20","Paddy, Jute, 
Cashewnuts, Fish, 
Prawns","08910-899440","NIL","The Secretary. Agril. 
Market Committee, 
Bheemunipatnam."
"3.","Chintapalli","NRM","MCG","NIL","Visakhapatnam","150","Paddy, Cashewnuts, 
Pulses, Fruits","08924-38247","NIL","The Secretary. Agril. 
Market Committee, 
Chintapalli."
"4.","Chodavaram","NRM","MCG","NIL","Anakapalli","20","Paddy, Cashewnuts, 
Turmeric, Niger 
seeds","08924-45426","NIL","The Secretary. Agril. 
Market Committee, 
Chodavaram."
"5.","Narsipatnam","RPM","MCG","NIL","Narsipatnam 
Road","20","Jaggery, Paddy, 
Redgram","08932-36078","YES","The Secretary. Agril. 
Market Committee, 
Narsipatnam."
"6.","Paderu","NRM","MCG","NIL","Visakhapatnam","120","Turmeric, Ginger","-","NIL","The Secretary. Agril. 
Market Committee, 
Padeeru."
"7.","Visakhapatnam","NRM","NIL","PRC","Visakhapatnam","1","Tamarind, Jaggery, 
Onions, Potatoes","0891-50247","NIL","The Secretary. Agril. 
Market Committee, 
Visakhapatnam."
"8.","Yellamanchili","NRM","MCG","NIL","-","-","Paddy, Cashewnuts, 
Coconuts, Onions","08924-31047","NIL","The Secretary. Agril. 
Market Committee, 
Yellamanchili."
