"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"9.","KHAMMAM 
(12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bhadrachalam 
Kunavaram 
Dummagudam","NRM","MCG","NIL","Bhadrachalam 
Road","33","Paddy, Chillies,  
Jowar,  Groundnut","08743-
32236","NIL","The Secretary, Agril. Market 
Committee, Bhadrachalam."
"2.","Burgampadu","NRM","MCG","NIL","Bhadrachalam 
Road","25","Paddy,  Cotton","08743-
8225","NIL","The Secretary, Agril. Market 
Committee, Burgampadu."
"3.","Charta","NRM","MCG","NIL","Bhadrachalam 
Road","93","Chillies,  Green 
gram,  Rice","08743-
57616","NIL","The Secretary, Agril. Market 
Committee, Charta."
"4.","Dhammapet","NRM","MCG","NIL","Khammam","97","Paddy,  Maize, 
Cashewnuts, 
Mangoes","","NIL","The Secretary, Agril. Market 
Committee, Dhammapet."
"5.","Kallur","NRM","MCG","NIL","Khammam","45","Paddy, Maize, 
Cotton,  Mangoes","08747-
71416","NIL","The Secretary, Agril. Market 
Committee, Kallur."
"6.","Khammam","RPM","MCG","NIL","Khammam","1.5","Cotton, Chillies 
Redgram,  
Greengram","08742-
28370","NIL","The Secretary, Agril. Market 
Committee, Khammam."
"7.","Kothagudem","RPM","MCG","NIL","Bhadrachalam 
Road","2.5","Paddy,  Maize, 
Gingili,  Pulses","08744-
42685","NIL","The Secretary, Agril. Market 
Committee, Kothagudem."
"8.","Madhira","NRM","MCG","NIL","Madhira","0.5","Paddy, Cotton,  
Pulses","08749-
74228","NIL","The Secretary, Agril. Market 
Committee, Madhira."
"9.","Nelakondapalli","NRM","MCG","NIL","Khammam","23","Paddy,  Maize, 
Cotton,  Redgram","08742-
67226","NIL","The Secretary, Agril. Market 
Committee, Nelakondapalli."
"10.","Sattupalli","NRM","MCG","NIL","Khammam","75","Paddy,  Mangoes,  
Cotton","08761-
82028","NIL","The Secretary, Agril. Market 
Committee, Sattupalli."
"11.","Wyra","NRM","MCG","NIL","Khammam","25","Paddy,  Maize, 
Cotton,  Chillies","08749-
51416","NIL","The Secretary, Agril. Market 
Committee, Wyra."
"12.","Yellandu","RPM","MCG","NIL","Mahabubabad","28","Paddy,  Maize, 
Cotton,  Redgram","08745-
52030","NIL","The Secretary, Agril. Market 
Committee, Yellandu."
