"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities arriving 
in the market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"14.","NALGONDA 
(19)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Alair","RPM","MCG","NIL","Alair","1","Paddy, Maize, Cotton, 
Red gram","958685-81649","NIL","The Secretary,Agril. 
Market Committee, Alair."
"2.","Bhongir","RPM","MCG","NIL","Bhongir","2","Paddy, Castor, Gingily, 
Redgram","958685-42553","NIL","The Secretary,Agril. 
Market Committee, 
Bhongir."
"3.","Chandur","RPM","MCG","NIL","Nalgonda","32","Paddy, Castor, Redgram","958681-48231","NIL","The Secretary,Agril. 
Market Committee, 
Chandur."
"4.","Chityal","NRM","MCG","NIL","Chityal","15","Paddy, Castor, Cotton","958682-62238","NIL","The Secretary,Agril. 
Market Committee, 
Chityal."
"5.","Choutuppal","RPM","MCG","NIL","Chityal","30","Paddy, Castor, Redgram","958694-72254","NIL","The Secretary,Agril. 
Market Committee, 
Choutuppal."
"6.","Deverkonda","NRM","MCG","NIL","Nalgonda","60","Paddy, Castor","958691-40344","NIL","The Secretary,Agril. 
Market Committee, 
Deverkonda."
"7.","Halia","RPM","MCG","NIL","Miryalaguda","43","Paddy, Castor, Cotton","958680-78242","NIL","The Secretary,Agril. 
Market Committee, Halia."
"8.","Huzurnagar","NRM","MCG","NIL","Miryalaguda","40","Paddy, Cotton","958683-51059","NIL","The Secretary,Agril. 
Market Committee, 
Huzurnagar."
"9.","Kodad","NRM","MCG","NIL","Miryalaguda 
& Khammam","50","Paddy, Cotton","958683-55335","NIL","The Secretary,Agril. 
Market Committee, 
Kodad."
"10.","Miryalaguda","RPM","MCG","NIL","Miryalaguda","5","Paddy, Pulses, 
Groundnut, Castor","958689-42651","NIL","The Secretary,Agril. 
Market Committee, 
Miryalaguda."
