"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities arriving 
in the market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"12.","MAHABOOB- 
NAGAR (16)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Achampet","RPM","MCG","NIL","Badepalli","80","Bajra, Ragi, Maize,  
Groundnut","958541-72247","NIL","The Secretary, Agril. Market 
Committee, Achampet."
"2.","Alampur","NRM","MCG","NIL","Alampur","7","Paddy, Groundnut, 
Jowar, Red gram","958502-66646","NIL","The Secretary, Agril. Market 
Committee, Alampur."
"3.","Amangal","RPM","MCG","PRC","Hyderabad","65","Paddy, Castor, 
Groundnut, Ragi","958543-76226","NIL","The Secretary, Agril. Market 
Committee, Amangal."
"4.","Atmakur","RPM","MCG","NIL","Sriramnagar","13","Paddy, Groundnut, 
Castor, Onions","958504-63545","NIL","The Secretary, Agril. Market 
Committee,  Atmakur."
"5.","Badepalli","RPM","MCG","NIL","Badepalli","0.5","Paddy, Castor, 
Groundnut, Ragi","958542-33406","NIL","The Secretary, Agril. Market 
Committee,  Badepalli."
"6.","Gadwal","RPM","MCG","NIL","Gadwal","4","Groundnut, Sunflower, 
Paddy, Castor","958546-62234","NIL","The Secretary, Agril. Market 
Committee,  Gadwal."
"7.","Kalwakurthy","RPM","MCG","NIL","Badepalli","60","Castor, Jowar, 
Groundnut, Ragi","958549-72357","NIL","The Secretary, Agril. Market 
Committee, Kalwakurthy."
"8.","Kollapur","NRM","N.A.","NIL","Badepalli","90","Paddy, Groundnut, 
Castor","958501-78051","NIL","The Secretary, Agril. Market 
Committee, Kollapur."
"9.","Kosgi","RPM","MCG","NIL","Mahaboob-
nagar","50","Paddy, Ragi, Jowar, 
Onion","958505-81132","NIL","The Secretary, Agril. Market 
Committee, Kosgi."
"10.","Mahaboob-
nagar","RPM","MCG","NIL","Mahaboob-
nagar","0.5","Paddy, Groundnut, Ragi, 
Jowar","958542-42342","NIL","The Secretary, Agril. Market 
Committee, Mahaboobnagar."
"11.","Makthal","RPM","MCG","NIL","Krishna","120","Paddy, Groundnut, 
Castor, Neem Fruits","958503-83143","NIL","The Secretary, Agril. Market 
Committee, Makthal."
"12.","Nagarkumool","RPM","MCG","NIL","Badepalli","40","Paddy, Maize, Castor, 
Groundnut","958540-26261","NIL","The Secretary, Agril. Market 
Committee, Nagarkurnool."
"13.","Narayanpet","RPM","MCG","NIL","Krishna","25","Paddy, Pulses, Castor, 
Groundnut","958546-82305","NIL","The Secretary, Agril. Market 
Committee, Narayanpet."
"14.","Shadnagar","RPM","MCG","NIL","Shadnagar","0.5","Paddy, Pulses, Cotton, 
Ragi","958548-     
52227/ 53409","NIL","The Secretary, Agril. Market 
Committee, Shadnagar."
"15.","Vanaparthy 
Road","RPM","MCG","NIL","Vanaparthy 
Road","0.5","Castor, Groundnut, 
Paddy, Jowar","958545-24136","NIL","The Secretary, Agril. Market 
Committee, Vanaparthy Road."
"16.","Vanaparthy 
Town","RPM","MCG","NIL","Vanaparthy 
Road","10","Paddy, Groundnut, 
Maize, Jowar","958545-32079","NIL","The Secretary, Agril. Market 
Committee, Vanaparthy Town."
