"Name of district & 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"4.","CUDDAPAH 
(12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Badvel","NRM","MCG","NIL","No Rly. 
Station.","--","Groundnut , Bajra, 
Sunflower","08569-84067","NIL","The Secretary, Agril. Market 
Committee, Badvel."
"2.","Cuddapah","RPM","MCG","NIL","Cuddapah","5","Groundnut, 
Turmeric,  Paddy,  
Sunflower","08562-41348","NIL","The Secretary, Agril. Market 
Committee, Cuddapah."
"3.","Jammalamadugu  RPM","","MCG","NIL","Muddanur","20","Vegetable","08560-70076","NIL","The Secretary, Agril. Market 
Committee, Jammalamadugu."
"4.","Kamalapuram","NRM","MCG","NIL","Kamalapuram","2","Groundnut","08563-75170","NIL","The Secretary, Agril. Market 
Committee, Kamalapuram."
"5.","Kodur","NRM","MCG","NIL","Kodur","4","Banana,  Bettle 
leaves, Sunflower","08566-44053","NIL","The Secretary, Agril. Market 
Committee, Kodur."
"6.","L.R. Palli","NRM","N.A.","NIL","No Rly. 
Station.","--","Groundnut , 
Sunflower","08561-64879","NIL","The Secretary, Agril. Market 
Committee, L.R.Palli."
"7.","Mydukur","RPM","MCG","NIL","Cuddapah","36","Onion, Cattle","08564-31176","NIL","The Secretary, Agril. Market 
Committee, Mydukur."
"8.","Proddatur","NRM","MCG","NIL","Yerragantla","20","Paddy,  Groundnut","08564-53380","NIL","The Secretary, Agril. Market 
Committee, Proddatur."
"9.","Pulivendula","NRM","MCG","NIL","No Rly. 
Station.","--","Pulses, Fruits, 
Cotton, G. Nut .","08568-66363","NIL","The Secretary, Agril. Market 
Committee, Pulivendula."
"10.","Rajampet","NRM","MCG","NIL","Rajampet","5","Paddy","08565-40261","NIL","The Secretary, Agril. Market 
Committee, Rajampet."
"11.","Rayachoty","NRM","MCG","NIL","No Rly. 
Station","--","Groundnut,  
Sunflower","08561-61003","NIL","The Secretary, Agril. Market 
Committee, Rayachoty."
"12.","Siddhavattam","NRM","N.A.","NIL","Cuddapah","30","Paddy,  Sunflower","08562-78011","NIL","The Secretary, Agril. Market 
Committee, Siddhavattam."
