"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer- 
cial 
grading 
facility","Complete postal address"
"3.","CHITTOOR 
(17)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bangarupalem","NRM","MCG","NIL","Chittoor","22","Jaggery, Coconuts 
& Mangoes","08573-80253","NIL","The Secretary Agriculture Market 
Committee, Bangarupalem.."
"2.","Chittoor","RPM","MCG","NIL","Chittoor","0.5","Mango & Jaggery","08572-32269, 
27269","NIL","The Secretary Agriculture Market 
Committee, Chittoor."
"3.","Kuppam","NRM","NIL","NIL","Kuppam","2","Coconuts,  Mangoes 
& Vegetables","08570-55961","NIL","The Secretary Agriculture Market 
Committee, Kuppam.."
"4.","Madanapalli","RPM","MCG","NIL","Madanapalli","12","Tomato & Tamarind","08571-22216","NIL","The Secretary Agriculture Market 
Committee, Madanapalli.."
"5.","Mulakala-
cheruvu","NRM","MCG","NIL","Mulakala-
cheruvu","0.5","Tomato, Groundnut  
& Jaggery","08571-67214","NIL","The Secretary Agriculture Market 
Committee, Mulakalacheruvu."
"6.","Nagalapuram","NRM","NIL","NIL","Puttur","35","Bajra, Groundnut  & 
Tamarind","08577-31676","NIL","The Secretary Agriculture Market 
Committee, Nagalapuram."
"7.","Nagari","NRM","MCG","NIL","Kuppam","5","Groundnut, Coconuts 
& Mangoes","08577-35719","NIL","The Secretary Agriculture Market 
Committee, Nagari.."
"8.","Pakala","NRM","MCG","NIL","Pakala","1","Jaggery, Coconuts, 
Mangoes & G.nut","08585-42053","NIL","The Secretary Agriculture Market 
Committee, Pakala.."
"9.","Palamaner","RPM","MCG","NIL","Chittoor","42","Tomato & Cattle","08579-52234","NIL","The Secretary Agriculture Market 
Committee, Palamaner.."
"10.","Piler","RPM","MCG","NIL","Piler","3","Tomato & Cattle","08584-44271","NIL","The Secretary Agriculture Market 
Committee, Piler."
"11.","Punganur","RPM","MCG","NIL","Madanapally
Road","37","Tomato, Cattle, 
Tamarind & Pulses","08581-53035","NIL","The Secretary Agriculture Market 
Committee, Punganur."
"12.","Puttur","NRM","MCG","NIL","Puttur","15","Paddy, Jaggery, 
Mangoes, G. Nut.","08577-31676","NIL","The Secretary Agriculture Market 
Committee, Puttur,."
"13.","Somala","NRM","NIL","NIL","Kalikiri","15","Jaggery, Mangoes, 
Tomato","08573-45647","NIL","The Secretary Agriculture Market 
Committee, Somala."
"14.","Srikalahasthi","NRM","NIL","NIL","Srikalahasthi","1.5","Paddy, Groundnut  
& Bajra","08578-62345","NIL","The Secretary Agriculture Market 
Committee, Srikalahasthi."
"15.","Thottambedu","NRM","MCG","NIL","Srikalaber","22","Paddy & Groundnut  
& Bajra","8578-62654","NIL","The Secretary Agriculture Market 
Committee, Thottambdu.."
"16.","Tirupati","NRM","MCG","NIL","Tirupati","3","Paddy, Jaggery & 
Groundnut","08574-38895","NIL","The Secretary Agriculture Market 
Committee, Tirupati.."
"17.","Vayalpadu","RPM","MCG","NIL","Vayalpadu","2","Tomato","08586-82239","NIL","The Secretary Agriculture Market 
Committee, Vayalpadu,.."
