"Name of district and 
Wholesale Market","","State 
of 
regula- 
tion","Go-
down 
facili-
ties","Cold 
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities arriving 
in the market","Tel. 
No.","Commer-
cial 
grading 
facility","Complete postal address"
"2.","ANANTHAPUR 
(12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Ananthapur","RPM","MCG","NIL","Ananthapur","2","Groundnut kernel, 
Cattle","08554-
30954","NIL","The Secretary Agricultural 
Market Committee Ananthapur."
"2.","Dharmavaram","NRM","MCG","NIL","Dharmavaram","1","Groundnut , Sunflower 
seeds & Pulses","08559-
22246","NIL","The Secretary Agricultural 
Market Committee 
Dharmavaram."
"3.","Gooty","NRM","MCG","NIL","Gooty","2","Jowar, Cotton & 
Groundnut","08553-
42358","NIL","The Secretary Agricultural 
Market Committee Gooty."
"4.","Guntakal","RPM","N.A.","NIL","Guntakal","2","Coriander, Paddy, 
Bengalgram & 
Sunflower","08552-
46684","NIL","The Secretary Agricultural 
Market Committee Guntakal."
"5.","Hindupur","RPM","MCG","NIL","Hindupur","1","Chillies,  Tamarind","08556-
20491","NIL","The Secretary Agricultural 
Market Committee Hindupur."
"6.","Kadiri","RPM","MCG","NIL","Kadiri","0.5","Groundnut, Tamarind  
& Sunflower","08494-
55108","NIL","The Secretary Agricultural 
Market Committee Kadiri."
"7.","Kalyanadurgam","NRM","MCG","NIL","Rayadurgam","42","Tamarind, Onions & 
Groundnut","08497-
87034","NIL","The Secretary Agricultural 
Market Committee 
Kalyanadurgam."
"8.","Madakasira","NRM","MCG","NIL","Hindupur","42","Tamarind, Onions & 
Groundnut","08493","NIL","The Secretary Agricultural 
Market Committee Mandakasira."
"9.","Penukonda","NRM","MCG","NIL","Penukonda","1","Groundnut & 
Sunflower","08555-
20268","NIL","The Secretary Agricultural 
Market Committee Penukonda."
"10.","Rayadurgam","NRM","MCG","NIL","Rayadurgam","2","Maize, Tamarind, 
Onion & Groundnut","08495-
52068","NIL","The Secretary Agricultural 
Market Committee Rayadurgam."
"11.","Tadipatri","NRM","MCG","NIL","Tadipatri","1","Groundnut , Coriander 
& Cotton","08558-
72371","NIL","The Secretary Agricultural 
Market Committee Tadipatri."
"12.","Uravakonda","NRM","MCG","NIL","Guntakal","34","Groundnut pods, Jowar 
& Bajra","08496-
57006","NIL","The Secretary Agricultural 
Market Committee Uravakonda."
