"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"22.","WARANGAL 
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Cherial","NRM","MCG","NIL","Jangoan","32","Paddy,  Maize, 
Cotton, Mangoes","958710-22461","NIL","The Secretary, Agril. Market 
Committee, Cherial."
"2.","Dorrnakal","NRM","MCG","NIL","Dormakal","1","Paddy & Maize","958719-82462","NIL","The Secretary, Agril. Market 
Committee, Dormakal."
"3.","Ghanapur","NRM","MCG","NIL","Ghanapur","2","Paddy & Maize","958711-49244","NIL","The Secretary, Agril. Market 
Committee, Ghanapur."
"4.","Jangoan","RPM","MCG","NIL","Jangoan","0.5","Paddy & Pulses","958716-20008","NIL","The Secretary, Agril. Market 
Committee, Jangoan."
"5.","Kesamadram","RPM","MCG","NIL","Kesamadram","1","Paddy, Turmeric, 
Maize, Pulses","958719-50536","NIL","The Secretary, Agril. Market 
Committee, Kesamadram."
"6.","Kodakandla","NRM","MCG","NIL","Jangoan","80","Paddy, Pulses, Maize, 
Cotton","958716-77244","NIL","The Secretary, Agril. Market 
Committee, Kodakandla."
"7.","Mahabubabad","RPM","MCG","NIL","Mahabubabad","0.5","Paddy,  Maize, Pulses","958719-40043","NIL","The Secretary, Agril. Market 
Committee, Mahabubabad."
"8.","Mulugu","NRM","MCG","NIL","Warangal","67","Paddy","958715-52261","NIL","The Secretary, Agril. Market 
Committee, Mulugu."
"9.","Narsampet","RPM","MCG","NIL","Warangal","30","Cotton, Paddy, 
Maize, Pulses","958718-30059","NIL","The Secretary, Agril. Market 
Committee, Narsampet."
"10.","Parkal","RPM","MCG","NIL","Warangal","33","Cotton, Paddy, 
Maize, Pulses","958713-41228","NIL","The Secretary, Agril. Market 
Committee, Parkal."
"11.","Thorrur","NRM","MCG","NIL","Mahabubabad","35","Paddy, Maize, 
Pulses","958719-30217","NIL","The Secretary, Agril. Market 
Committee, Thorrur."
"12.","Warrangal","NRM","MCG","PRC","Warangal","6","Cotton, Chillies, 
Groundnut, Pulses","958712- 
425929/429329","NIL","The Secretary, Agril. Market 
Committee, Warangal."
"13.","Wardhannapet","NRM","MCG","NIL","Warangal","25","Paddy, Maize, 
Cotton, Pulses","958712-41355","NIL","The Secretary, Agril. Market 
Committee, Wardhannapet."
