"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"18.","RANGA REDDY 
(9)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Ibrahimpatnam","NRM","MCG","PRC","Nil","Nil","Paddy","08414-22049","NIL","The Secretary, Agril. 
Market Committee, 
Ibrahimpatnam."
"2.","Marpally","RPM","MCG","NIL","Marpally","3","Jowar,  Pulses, 
Groundnut, Cotton","08416-68250","NIL","The Secretary, Agril. 
Market Committee, 
Marpally."
"3.","Medchal","NRM","NIL","NIL","Medchal","10","Maize, Paddy, 
Tamarind","08418-22618","NIL","The Secretary, Agril. 
Market Committee, 
Medchal."
"4.","Narsingi","RPM","NIL","NIL","Nil","Nil","Cattle","253909","NIL","The Secretary, Agril. 
Market Committee, 
Narsingi."
"5.","Pargi","RPM","MCG","NIL","Nil","Nil","Paddy,  Pulses, 
Turmeric, Groundnut","08412-22274","NIL","The Secretary, Agril. 
Market Committee, Pargi."
"6.","Sardaranagar","RPM","MCG","NIL","Sardaranagar","8","Paddy,  Pulses, 
Groundnut","08416-89423","NIL","The Secretary, Agril. 
Market Committee, 
Sardarnagar."
"7.","Shankerpally","RPM","MCG","NIL","Shankerpally","0.5","Onions & Castor","08417-22235","NIL","The Secretary, Agril. 
Market Committee, 
Shankerpally."
"8.","Tandur","RPM","MCG","NIL","Tandur","1","Pulses, Groundnut","08411-72023","NIL","The Secretary, Agril. 
Market Committee, Tandur."
"9.","Vikarabad","RPM","MCG","NIL","Vikarabad","Nil","Turmeric & Pulses","08416-53409","NIL","The Secretary, Agril. 
Market Committee, 
Vikarabad."
