"Name of district and 
Wholesale Market","","State 
of 
regu-
lation","Go-  
down 
faci-   
lities","Cold  
storage 
facility","Nearest 
railway 
station","Dis-
tance 
(km.)","Commodities 
arriving in the 
market","Tel. No.","Commer-
cial 
grading 
facility","Complete postal address"
"8.","KARIMNAGAR 
(19)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Choppadandi","RPM","NIL","NIL","Karimnagar","15","Paddy,  Maize,  
Cotton,  Pulses","08722-
81473","NIL","The Secretary, Agril. Market 
Committee, Choppadandi."
"2.","Dharmapuri","NRM","NIL","NIL","Manchiriyal","45","Paddy,  Maize,  
Turmeric","08724-
73314","NIL","The Secretary, Agril. Market 
Committee, Dharmapuri."
"3.","Dharmaram","RPM","MCG","NIL","Peddapally","28","Paddy,  Pulses, 
Groundnut,  Castor","08728-
70184","NIL","The Secretary, Agril. Market 
Committee, Dharmaram."
"4.","Gangadhara","NRM","MCG","NIL","Karimnagar","25","Paddy,  Pulses, 
Groundnut,  Castor","08722-
88649","NIL","The Secretary, Agril. Market 
Committee, Gangadhara."
"5.","Gollapalli","NRM","NIL","NIL","Peddapally","45","Paddy,  Maize, 
Redgram,  Turmeric","08724-
81255","NIL","The Secretary, Agril. Market 
Committee, Gollapaili."
"6.","Husnabad","RPM","NIL","NIL","Karimnagar","40","Paddy,  Pulses, 
Groundnut & Castor","08727-
55448","NIL","The Secretary, Agril. Market 
Committee, Husnabad."
"7.","Huzurabad","RPM","MCG","NIL","Jammikunta","15","Paddy,  Pulses, 
Groundnut,  Castor","08727-
52081","NIL","The Secretary, Agril. Market 
Committee, Huzurabad."
"8.","Jagitial","RPM","MCG","NIL","Karimnagar","50","Paddy,  Pulses, 
Chillies,  Turmeric","08724-
21026","NIL","The Secretary, Agril. Market 
Committee, Jagitias."
"9.","Jammikunta","RPM","MCG","NIL","Jammikunta","1","Cotton,  Maize, 
Groundnut,  Pulses","08727-
55452","NIL","The Secretary, Agril. Market 
Committee, Jammikunta."
"10.","Karimnagar","RPM","MCG","NIL","Karimnagar","2","Paddy,  Maize, 
Groundnut,  Pulses","08722- 
21356/ 
50902","NIL","The Secretary, Agril. Market 
Committee, Karimnagar."
"11.","Kataram","NRM","NIL","NIL","Peddapally","80","Paddy","08729-
52213","NIL","The Secretary, Agril. Market 
Committee, Kataram."
"12.","Koratla","RPM","MCG","NIL","Karimnagar","75","Paddy, Turmeric, 
Groundnut,  Castor","08725-
52064","NIL","The Secretary, Agril. Market 
Committee, Koratla."
