"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"1.","PONDICHERRY 
REGION           
(4)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Pondicherry 
Regulated Market, 
Thattanchavady","RPM","MCG","Nil","Pondicherry","4","Paddy, 
Groundnut 
Pulses, Cotton","48072","Nil","The Secretary, Pondicherry Market 
Committee, Agriculture Complex, 
Thattanchavady, Pondicherry-9"
"2.","Madagadipet","RSM","MCG","- do -","- do -","21","Paddy, Millets, 
Pulses, Cotton","641148","- do -","- do -"
"3.","Kanniakiol","- do -","Nil","- do -","- do -","10","Millets, Pulses, 
Cotton","611020","- do -","- do -"
"4.","Koonitchampet   (yet 
to start)","- do -","- do -","- do -","- do -","23","-","","- do -","- do -"
"2.","KARIAKAL 
REGION (1)","","","","","","","","",""
"1.","Karikal Market 
Committee","RPM 
MCG 
- 
Karaikal 
5 
Paddy, Pulses, 
22766 
Nil 
The Secretary, Karaikal Market 
Groundnut, 
Committee, Thirunallar Rd.,   
Cotton 
Karaikal-609602","","","","","","","",""
"3.","MAHE REGION (1)","","","","","","","","",""
"1.","Mahe Market 
Committee  (not 
functioning at 
present)","RPM","MCG","-","Mahe","2","Coconut, Black 
pepper,","332810","Nil","The Secretary, Mahe Market 
Committee, Kopparakalam, 
Cherukallayi, New Mahe"
"4.","YANAM REGION 
(1)","","","","","","","","",""
"1.","Yanam Market 
Committee","RPM 
MCG 
- 
Yanam 
- 
Paddy, Coconut, 
21308 
Nil 
The Secretary, Yanam Market 
Kakinada 
 
Committee, French Channel Road, 
Yanam-533464","","","","","","","",""
