"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"16.","HOSHANGABAD 
(10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Babai","RSM","NIL","NIL","Hoshangabad","22","Wheat, Soyabean,  
Gram, Redgram","NIL","NIL","C/o. K.U.M., Itarsi."
"2.","Banapur","RPM","SWG-1, 
CSC-1, 
MCG-23","NIL","Banapur","2","- do -","07570-
24728","NIL","Sec, K.U.M., Banapur."
"3.","Bankheri","- do -","NIL","NIL","Bankheri","2","- do -","07576-
88360","NIL","Sec, K.U.M., Bankheri."
"4.","Dolaria **","RSM","NIL","NIL","Dolaria","2","NIL","NIL","NIL","NIL"
"5.","Hoshangabad","- do -","NIL","NIL","Hoshangabad","4","Wheat, Soyabean, 
Gram, Redgram","NIL","NIL","C/o. K.U.M., Itarsi."
"6.","Itarsi","RPM","SWG-1, 
CSC-1, 
MCG-38, 
PSG-20","NIL","Itarasi","2","- do -","07572-
34068","YES","Sec, K.U.M., Itarsi."
"7.","Piparia","- do -","MCG-1, 
PSG-3, 
CSC-3, 
CWG-1","NIL","Piparia","2","- do -","07576-
22107","YES","Sec, K.U.M., Piparia."
"8.","Semariharchand","- do -","SWG-1, 
CSC-1, 
MCG-1","NIL","Sohagpur","10","- do -","07576-
76233","NIL","Sec, K.U.M., 
Semariharchand."
"9.","Sohagpur","RSM","NIL","NIL","- do -","2","- do -","NIL","NIL","C/o. K.U.M., 
Semariharchand."
"10.","Suktava **","- do -","NIL","NIL","Itarasi","20","NIL","NIL","NIL","NIL"
