"Name of district and 
wholesale market","","State of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"42.","TIKAMGARH    
 (6)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Jatara","RPM","SWG-1 
MFG-1","NIL","Harpalpur","40","Wheat, Soybean, 
Gram, Redgram","NIL","NIL","K.U.M., Jatara."
"2.","Khargapur","RSM","MCG-1","NIL","Mhowranipur","50","- do -","NIL","NIL","K.U.M., Khargapur."
"3.","Nibari","RPM","SWG-1 
MFG-1","NIL","Orcha","15","- do -","32304","NIL","K.U.M., Nibari."
"4.","Palera","RSM","MCG-1","NIL","Harpalpur","50","- do -","NIL","NIL","K.U.M., Palera."
"5.","Prithvipur","RPM","MCG-1 
SWG-1","NIL","Jhansi","60","- do -","NIL","NIL","K.U.M., Prithvipur."
"6.","Tikamgarh","RPM","MFG-1","NIL","Lalitpur","40","- do -","42362","NIL","K.U.M., Tikamggarh"
"43.","UMARIYA 
(2)","","","","","","","","",""
"1.","Chandia","RSM","NIL","NIL","Umaria","20","Wheat, Redgram, 
Mustard, Gram","NIL","NIL","K.U.M., Chandia."
"2.","Umaria","RPM","PSG-1","NIL","Umaria","3","Wheat, Redgram, 
Mustard,  Linseed","22240","NIL","K.U.M., Umaria."
