"Name of district and 
wholesale market","","State of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"19.","INDORE        
(10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Chandrawatiganj","RSM","MCG-1","NIL","Chandrawatiganj","1","Soybean, Wheat, 
Gram, Maize","07521-
20262","NIL","C/o.  K.U.M.,.Sanwer."
"2.","Depalpur","- do -","SWG-1","NIL","Gautampura","17","- do -","07322-
20360","NIL","C/o. K.U.M., Gautampura."
"3.","Gautampura","RPM","SFG-1 
MCG-7","NIL","- do -","2","- do -","07322-
30250","NIL","Sec, K.U.M., Gautampura."
"4.","Indore","- do -","CWG-1 
CSC-2 
PSG-2","NIL","Indore","5","- do -","411223, 
412902","NIL","Sec, K.U.M.,  
Laxmibainagar."
"5.","Indore","RSM","NIL","CSC-1","- do -","7","Potato Onion, 
Garlic, Apple","364840","NIL","Sec, Fruit & Vegetable 
Market Yard, Tejpur, 
Gadbadi, Indore."
"6.","Manglia","- do -","NIL","NIL","Manglia","1","Soybean, Wheat, 
Gram, Maize","NIL","NIL","C/o. Sec, K.U.M., Sanwer."
"7.","Manpur","- do -","NIL","NIL","Mhow","20","- do -","NIL","NIL","C/o. Sec, K.U.M.,  
Dongargaon, Mhow."
"8.","Mhow","RPM","SWG-2 
SFG-2 
MCG-8","CSC-8 
PRC-10","- do -","4","- do -","07324-
72068","NIL","Sec, K.U.M., Dongargaon, 
Mhow."
"9.","Sanwer","- do -","NIL","NIL","Indore","30","- do -","07322-
20360","NIL","Sec, K.U.M.,  Sanwer, 
Indore."
"10.","Sanyogitaganj","RSM","SWG-1","NIL","- do -","1","- do -","460991","NIL","Sec, Sanyogitaganj Anaz 
Mandi, Indore."
