"Name of district and 
wholesale market","","State of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"24.","MANDSAUR     
 (10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bhanpura","RPM","CWG-1","NIL","Jhalawar Road","16","Soybean, 
Coriander, 
Blackgram, Gram","NIL","NIL","Sec., K.U.M.,  Bhanpura."
"2.","Baloda","RSM","PSG-9 
MCG-2","NIL","Mandsaur","20","Garlic, Soybean, 
Gram, Wheat","NIL","NIL","C/o. K.U.M., Mandsaur"
"3.","Garoth","NRM","NIL","NIL","Shyamgarh","40","Soybean, 
Coriander, 
Blackgram, Gram","NIL","NIL","C/o. K.U.M.., Shyamgarh"
"4.","Malhargarh *","RSM","NIL","NIL","N.A.","N.A.","N.A.","NIL","NIL","C/o. K.U.M., Pipliya"
"5.","Mandsaur","RPM","PSG-82 
MCG-17","NIL","Mandsaur","6","Garlic, Soybean, 
Gram, Wheat","05582-
42502","NIL","Sec., K.U.M., Mandsaur."
"6.","Narayangarh *","RSM","NIL","NIL","NIL","NIL","N.A.","NIL","NIL","NIL"
"7.","Pipliya","RPM","CSC-1 
CWG-1 
SWG-1","NIL","Pipliya","1","Soybean,  Maize, 
Garlic, Gram","41026","NIL","Sec., K.U.M., Pipliya"
"8.","Shyamgarh","RPM","MCG-1, 
SWG-1, 
CSC-1","NIL","Shyamgarh","1","Soybean, 
Coriander, 
Blackgram, Gram","32031","NIL","Sec., K.U.M., Shyamgarh"
"9.","Sitamau","RSM","NIL","NIL","Suvasara","35","Soybean, 
Coriander, Gram, 
Maize","NIL","NIL","C/o. K.U.M., Suvasara"
"10.","Suvasara","RPM","PSG-5","NIL","- do -","0","- do -","28043","NIL","Sec., K.U.M., Suvasara"
