"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"1.","DELHI            
(21)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","F & V Market, 
Azadpur","RPM","NIL","PRC- 6","New Sabji 
Mandi, 
R.S., 
Azaadpur","0","Apple, Potato, Onion, 
Mango","7430908, 7435584","NIl","Fruits & Vegetable 
Market, Azadpur, 
Delhi-33"
"2.","Railway Kela 
Siding, Azadpur","RSM","NIL","NIL","- do -","0","Kela, Orange, Mango","- do -","NIL","Railway Kela Siding 
Market, Azadpur, 
Delhi-33"
"3.","F & V Market 
Okhla","- do -","NIL","NIL","Okhla","0","Potato, Onion. 
Cauliflower, Tomato","6837351","NIL","Fruits & Vegetable 
Market, Okhla, Delhi"
"4.","Fish Market, 
Gazipur","RPM","NIL","NIL","Anand 
Vihar","4","Fish","2778012, 3285806","NIL","Fish Market, Gazipur, 
Delhi-92"
"5.","Chicken Market, 
Gazipur","- do -","NIL","NIL","- do -","4","Chicken","- do -","NIL","Chicken Market, 
Gazipur, Delhi-92"
"6.","New Grain Market, 
Narela","- do -","NIL","NIL","Narela","1","Wheat, Paddy, Bajra, 
Jowar","7282339, 7284896 
& 7284089","NIL","New Grain Market, 
Narela, Delhi"
"7.","New Grain Market, 
Nazafgarh 
(Haibatpur)","- do -","NIL","NIL","Bijwasan","8","- do -","5016370, 5017723 
& 5013665","NIL","New Grain Market, 
Nazafgarh (Haibatpur), 
New Delhi-43"
"8.","Old Grain Market, 
Nazafgarh","RSM","NIL","NIL","- do -","8","- do -","- do -","NIL","Old Grain Market, 
Nazafgarh, 
           
New Delhi-43"
"9.","Grain Market, 
Shahdra","RPM","NIL","NIL","Shahdra","0.5","Wheat, Oilseeds, 
Sugar","2421761","Nil","Grain Market, shahdra, 
4/1378, Bholanath 
Nagar, Near Shalimar 
park, Bus Stand, 
Shahdra, Delhi-32"
