"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"1.","DELHI            
(21)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"10.","F & V Market, 
Gazipur","RSM","NIL","NIL","Ananad 
Vihar","3","Potato, Tomato, Onion, 
Carrot","2421761","NIL","Fruits & Vegetable 
Market, Gazipur, Delhi"
"11.","F & V Market, 
Jheel Kurenja","- do -","NIL","NIL","Shahdra","3","Cauliflower, Palak, 
Tomato, Musk Melon","- do -","NIL","Fruits & Vegetable 
Market, Jheel, Kurenja, 
Delhi"
"12.","F & V Market, 
Shankarpur, Pushta","RSM","NIL","NIL","Shahdra","7","Cauliflower, Palak, 
Tomato, Musk melon","2421761","NIL","F & V Market, 
Shakarpur, Pushta, 
Delhi"
"13.","F & V Market 
Keshopur","RPM","NIL","NIL","Mangolpu
ri","5","Cauliflower, Tomato,  
Carrot, Potato","5169541, 
5174582","NIL","Chetram Wholesale 
Vegetable Market, 
Keshopur, New Delhi-
18"
"14.","New Fodder 
Market, 
Mangolpuri 
Industrial Area, 
Mangolpuri","- do -","NIL","NIL","- do -","2","Wheat straw,  Jowar 
Fodder, Green Berseam, 
Jaic","7021830","NIL","Fodder Market, 
Mangolpuri, Industrial 
Area, Phase-II,  New 
Delhi-34"
"15.","Fodder Market, 
Tikrikalan","RSM","NIL","NIL","Gheora","4","- do -","- do -","NIL","Fodder Market, Tikri 
Kalan, Rohtak Rd., 
Delhi-41"
"16.","Fodder Market, 
Kondli","- do -","NIL","NIL","Shahdra","10","- do -","- do -","NIL","Fodder market , Kondli, 
Delhi"
"17.","Khoya Mawa 
Market, 
Baghdiwar, 
Opp.Delhi Rly Stn.","RPM","NIL","NIL","Old Delhi","0","Khoya, Pedar & Dhaap, 
Paneer","3869331, 
3869332","NIL","Khoya Mawa Market, 
Bagh Diwar Opp. Delhi 
Rly. Stn., Delhi"
"18.","Flower Market, 
Mehrauli","- do -","NIL","NIL","Tuglaqaba
d","7","Gladiolus, Roses, 
Guldavdi, Zarbera","5822839, 
5822837","NIL","Flower Market, 
Mahrauli, Delhi"
