"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal 
address"
"4.","WEST 
TRIPURA 
(37)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"21.","Kanchnmala","NRM","SFG","Nil","Kumarghat","140","Rice, Paddy, Jackfruits, Pineapple","Nil","Nil","PO-Kanchanamala"
"22.","Moharcherra","- do -","- do -","- do -","- do -","120","Rice, Paddy, Potato, Brinjal","- do -","- do -","PO- Moharcherra"
"23.","Maharajganj 
Bazar","- do -","- do -","- do -","- do -","162","- do -","- do -","- do -","PO- Maharajganj Bazar"
"24.","Mohanpur","RPM","- do -","- do -","- do -","200","Rice, Paddy, Vegetable, Meat 
(animals)","- do -","- do -","PO-Mohanpur"
"25.","Melaghar","- do -","- do -","- do -","- do -","220","- do -","69152 
(pp)","- do -","PO- Melaghar"
"26.","Madhurpur","NRM","- do -","- do -","- do -","170","Rice, Paddy, Jackfruit, Pineapple","Nil","- do -","PO-Madhurpur"
"27.","Mandaibazar","- do -","- do -","- do -","- do -","100","- do -","- do -","- do -","PO-Mandaibazar"
"28.","Nolchar","- do -","- do -","- do -","- do -","200","- do -","- do -","- do -","PO-Nolehar"
"29.","Nidoya","- do -","- do -","- do -","- do -","220","Potato, Vegetable, Jackfruit, 
Pineapple","- do -","- do -","PO-Nidoya"
"30.","Panchabhti","- do -","- do -","- do -","- do -","170","Jackfruit, Pineapple, Rice, 
Vegetable","- do -","- do -","PO-Panchabati"
"31.","Ranirbazar","- do -","Nil","- do -","- do -","150","Paddy, Vegetable, Rice, Fruits","- do -","- do -","PO- Rarirbazar"
"32.","Subhaspalli","- do -","- do -","- do -","- do -","160","Rice, Paddy, Brinjal, Potato","- do -","- do -","PO-Subhaspalli"
"33.","Sekerkota","- do -","- do -","- do -","- do -","150","Rice, Paddy, Potato, Brinjal","- do -","- do -","PO-Sekarkota"
"34.","Sonamura","RSM","- do -","- do -","- do -","225","- do -","50249","- do -","PO-Sonamura"
"35.","Teliamura","RPM","SFG","PRC","- do -","140","Paddy, Vegetable, Potato, Brinjal","03825-
62225","- do -","PO-sTeliamura"
"36.","Takarjala","NRM","Nil","Nil","- do -","180","- do -","Nil","- do -","PO-Takarjala"
"37.","Walurchar","- do -","- do -","- do -","- do -","125","Rice, Vegetable, Pineapple, 
Watermelon","- do -","- do -","PO-Valurechar"
