"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"2.","NORTH 
TRIPURA        
(15)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Dasda","RPM","Nil","Nil","Kumarghat","45","Rice, Paddy, Veg., Meat 
(Animal)","Nil","Nil","PO-Dasda"
"2.","Dalugaon","NRM","- do -","- do -","- do -","25","Rice, Paddy, Pineapple, 
Jackfruit","- do -","- do -","PO- Dalugaon"
"3.","Dameharra","- do -","- do -","- do -","- do -","55","- do -","- do -","- do -","PO- Damecherra"
"4.","Fatikuli","- do -","- do -","- do -","- do -","50","Rice, Paddy, Vegetable, 
Fruits","- do -","- do -","PO- Fatikuli"
"5.","Fatikroy","- do -","- do -","- do -","- do -","30","- do -","- do -","- do -","PO- Fatikroy"
"6.","Kanehanpur","RPM","- do -","- do -","- do -","50","Rice, Paddy, Vegetable, 
Sesamum","- do -","- do -","PO- Kanchanpur"
"7.","Kumarghat 
(Pabiachenna)","- do -","- do -","- do -","- do -","1","Rice, Paddy, Vegetable, 
Fruits","- do -","- do -","PO- Kumarghat"
"8.","Kadamtala","NRM","- do -","- do -","- do -","65","- do -","- do -","- do -","PO- Kadamtala"
"9.","Kanchanbari","- do -","- do -","- do -","- do -","15","Rice, Paddy, Pineapple, 
Jackfruit","- do -","- do -","PO- Kanchanbari"
"10.","Masli","- do -","- do -","- do -","- do -","85","- do -","- do -","- do -","PO- Masli"
"11.","Masughat","- do -","- do -","- do -","- do -","15","Rice, Paddy, Jackfruit, 
Watermelon","- do -","- do -","PO-  Masughat"
"12.","Masmarra","- do -","- do -","- do -","- do -","35","Rice, Paddy, Veg., Meat 
(Animal)","- do -","- do -","PO-  Masmarra"
"13.","Panisagar","RPM","- do -","- do -","- do -","40","Rice, Paddy, Potato, 
Vegetable","- do -","- do -","PO-Panisagar"
"14.","Peeharthal","NRM","- do -","- do -","- do -","20","Rice, Paddy, Vegetable, 
Fruits","- do -","- do -","PO- Peeharhal"
"15.","Panichowki","- do -","- do -","- do -","- do -","30","- do -","- do -","- do -","PO- Panichowki"
